Step 12749 (25.5%) | train: 7.2802 | val: 7.2708 | ppl: 1437.6 | tok/s: 616,617 | remaining steps: 37251s
Step 12999 (26.0%) | train: 7.2470 | val: 7.2463 | ppl: 1402.9 | tok/s: 615,577 | remaining steps: 37001s
Step 13249 (26.5%) | train: 7.2281 | val: 7.2192 | ppl: 1365.4 | tok/s: 616,669 | remaining steps: 36751s
Step 13499 (27.0%) | train: 7.2027 | val: 7.2115 | ppl: 1354.9 | tok/s: 617,644 | remaining steps: 36501s
Step 13749 (27.5%) | train: 7.1828 | val: 7.1932 | ppl: 1330.3 | tok/s: 618,501 | remaining steps: 36251s
Step 13999 (28.0%) | train: 7.1854 | val: 7.1731 | ppl: 1303.9 | tok/s: 615,868 | remaining steps: 36001s
Step 14249 (28.5%) | train: 7.1596 | val: 7.1703 | ppl: 1300.2 | tok/s: 616,736 | remaining steps: 35751s
Step 14499 (29.0%) | train: 7.1520 | val: 7.1589 | ppl: 1285.4 | tok/s: 618,718 | remaining steps: 35501s
Step 14749 (29.5%) | train: 8.0456 | val: 7.9609 | ppl: 2866.6 | tok/s: 618,010 | remaining steps: 35251s
Step 14999 (30.0%) | train: 7.3082 | val: 7.3090 | ppl: 1493.7 | tok/s: 615,631 | remaining steps: 35001s
Step 15249 (30.5%) | train: 7.1658 | val: 7.1552 | ppl: 1280.7 | tok/s: 616,537 | remaining steps: 34751s
Step 15499 (31.0%) | train: 7.1410 | val: 7.1411 | ppl: 1262.8 | tok/s: 615,620 | remaining steps: 34501s
Step 15749 (31.5%) | train: 7.1316 | val: 7.1325 | ppl: 1252.1 | tok/s: 616,452 | remaining steps: 34251s
Step 15999 (32.0%) | train: 7.1031 | val: 7.1125 | ppl: 1227.2 | tok/s: 617,228 | remaining steps: 34001s
Step 16249 (32.5%) | train: 7.0967 | val: 7.0922 | ppl: 1202.6 | tok/s: 611,880 | remaining steps: 33751s
Step 16499 (33.0%) | train: 7.0877 | val: 7.0929 | ppl: 1203.4 | tok/s: 617,516 | remaining steps: 33501s
Step 16749 (33.5%) | train: 9.1257 | val: 8.9688 | ppl: 7854.4 | tok/s: 617,299 | remaining steps: 33251s
Step 16999 (34.0%) | train: 7.1943 | val: 7.1881 | ppl: 1323.5 | tok/s: 618,792 | remaining steps: 33001s
Step 17249 (34.5%) | train: 7.1201 | val: 7.1303 | ppl: 1249.3 | tok/s: 617,877 | remaining steps: 32751s
Step 17499 (35.0%) | train: 7.0990 | val: 7.0880 | ppl: 1197.5 | tok/s: 616,502 | remaining steps: 32501s
Step 17749 (35.5%) | train: 7.0794 | val: 7.0808 | ppl: 1189.0 | tok/s: 617,574 | remaining steps: 32251s
Step 17999 (36.0%) | train: 9.4857 | val: 9.5863 | ppl: 14563.5 | tok/s: 617,724 | remaining steps: 32001s
Step 18249 (36.5%) | train: 7.1288 | val: 7.1314 | ppl: 1250.6 | tok/s: 616,340 | remaining steps: 31751s
Step 18499 (37.0%) | train: 7.0806 | val: 7.0932 | ppl: 1203.8 | tok/s: 617,533 | remaining steps: 31501s
Step 18749 (37.5%) | train: 7.0675 | val: 7.0774 | ppl: 1184.9 | tok/s: 619,346 | remaining steps: 31251s
Step 18999 (38.0%) | train: 7.6606 | val: 7.5199 | ppl: 1844.4 | tok/s: 619,455 | remaining steps: 31001s
Step 19249 (38.5%) | train: 7.1358 | val: 7.1291 | ppl: 1247.8 | tok/s: 619,078 | remaining steps: 30751s
Step 19499 (39.0%) | train: 7.0834 | val: 7.0822 | ppl: 1190.6 | tok/s: 619,214 | remaining steps: 30501s
Step 19749 (39.5%) | train: 7.0709 | val: 7.0735 | ppl: 1180.2 | tok/s: 619,781 | remaining steps: 30251s
Step 19999 (40.0%) | train: 7.0492 | val: 7.0575 | ppl: 1161.5 | tok/s: 619,924 | remaining steps: 30001s
Step 20249 (40.5%) | train: 7.0335 | val: 7.0499 | ppl: 1152.8 | tok/s: 619,437 | remaining steps: 29751s
Step 20499 (41.0%) | train: 8.2696 | val: 8.2583 | ppl: 3859.4 | tok/s: 619,276 | remaining steps: 29501s
Step 20749 (41.5%) | train: 8.0019 | val: 7.9849 | ppl: 2936.3 | tok/s: 619,574 | remaining steps: 29251s
Step 20999 (42.0%) | train: 7.8340 | val: 7.8148 | ppl: 2477.1 | tok/s: 620,400 | remaining steps: 29001s
Step 21249 (42.5%) | train: 7.6937 | val: 7.6922 | ppl: 2191.1 | tok/s: 619,060 | remaining steps: 28751s
Step 21499 (43.0%) | train: 7.5834 | val: 7.5879 | ppl: 1974.2 | tok/s: 617,258 | remaining steps: 28501s
Step 21749 (43.5%) | train: 7.4850 | val: 7.5007 | ppl: 1809.3 | tok/s: 619,599 | remaining steps: 28251s
Step 21999 (44.0%) | train: 7.4223 | val: 7.4142 | ppl: 1659.4 | tok/s: 617,148 | remaining steps: 28001s
Step 22249 (44.5%) | train: 7.3584 | val: 7.3687 | ppl: 1585.6 | tok/s: 620,967 | remaining steps: 27751s
Step 22499 (45.0%) | train: 7.2979 | val: 7.3020 | ppl: 1483.3 | tok/s: 619,977 | remaining steps: 27501s
Step 22749 (45.5%) | train: 7.2565 | val: 7.2590 | ppl: 1420.9 | tok/s: 619,893 | remaining steps: 27251s
Step 22999 (46.0%) | train: 7.2228 | val: 7.2314 | ppl: 1382.2 | tok/s: 619,767 | remaining steps: 27001s
Step 23249 (46.5%) | train: 7.1894 | val: 7.1934 | ppl: 1330.7 | tok/s: 619,809 | remaining steps: 26751s
Step 23499 (47.0%) | train: 7.1588 | val: 7.1673 | ppl: 1296.3 | tok/s: 620,669 | remaining steps: 26501s
Step 23749 (47.5%) | train: 7.1334 | val: 7.1332 | ppl: 1252.9 | tok/s: 619,818 | remaining steps: 26251s
Step 23999 (48.0%) | train: 7.1110 | val: 7.1162 | ppl: 1231.8 | tok/s: 620,449 | remaining steps: 26001s
Step 24249 (48.5%) | train: 7.0961 | val: 7.1063 | ppl: 1219.6 | tok/s: 620,356 | remaining steps: 25751s
Step 24499 (49.0%) | train: 7.0776 | val: 7.0840 | ppl: 1192.7 | tok/s: 620,148 | remaining steps: 25501s
Step 24749 (49.5%) | train: 7.0433 | val: 7.0486 | ppl: 1151.2 | tok/s: 619,865 | remaining steps: 25251s
Step 24999 (50.0%) | train: 7.0412 | val: 7.0320 | ppl: 1132.3 | tok/s: 620,145 | remaining steps: 25001s
Step 25249 (50.5%) | train: 7.0429 | val: 7.0305 | ppl: 1130.6 | tok/s: 621,190 | remaining steps: 24751s
Step 25499 (51.0%) | train: 7.0269 | val: 7.0130 | ppl: 1111.0 | tok/s: 620,190 | remaining steps: 24501s
Step 25749 (51.5%) | train: 7.0168 | val: 7.0129 | ppl: 1110.9 | tok/s: 621,863 | remaining steps: 24251s
Step 25999 (52.0%) | train: 7.0066 | val: 7.0228 | ppl: 1121.9 | tok/s: 620,650 | remaining steps: 24001s
Step 26249 (52.5%) | train: 6.9881 | val: 6.9959 | ppl: 1092.1 | tok/s: 620,903 | remaining steps: 23751s
Step 26499 (53.0%) | train: 6.9858 | val: 6.9926 | ppl: 1088.6 | tok/s: 620,861 | remaining steps: 23501s
Step 26749 (53.5%) | train: 6.9804 | val: 6.9834 | ppl: 1078.6 | tok/s: 622,125 | remaining steps: 23251s
Step 26999 (54.0%) | train: 6.9745 | val: 6.9790 | ppl: 1073.8 | tok/s: 621,834 | remaining steps: 23001s
Step 27249 (54.5%) | train: 6.9763 | val: 6.9765 | ppl: 1071.1 | tok/s: 621,025 | remaining steps: 22751s
Step 27499 (55.0%) | train: 6.9693 | val: 6.9670 | ppl: 1061.0 | tok/s: 621,771 | remaining steps: 22501s
Step 27749 (55.5%) | train: 6.9658 | val: 6.9561 | ppl: 1049.5 | tok/s: 623,244 | remaining steps: 22251s
Step 27999 (56.0%) | train: 6.9626 | val: 6.9726 | ppl: 1067.0 | tok/s: 621,640 | remaining steps: 22001s
Step 28249 (56.5%) | train: 6.9652 | val: 6.9549 | ppl: 1048.3 | tok/s: 620,912 | remaining steps: 21751s
Step 28499 (57.0%) | train: 6.9599 | val: 6.9520 | ppl: 1045.2 | tok/s: 622,070 | remaining steps: 21501s
Step 28749 (57.5%) | train: 6.9521 | val: 6.9595 | ppl: 1053.1 | tok/s: 621,034 | remaining steps: 21251s
Step 28999 (58.0%) | train: 6.9474 | val: 6.9482 | ppl: 1041.3 | tok/s: 622,044 | remaining steps: 21001s
Step 29249 (58.5%) | train: 6.9411 | val: 6.9794 | ppl: 1074.3 | tok/s: 621,530 | remaining steps: 20751s
Step 29499 (59.0%) | train: 6.9294 | val: 6.9458 | ppl: 1038.7 | tok/s: 621,268 | remaining steps: 20501s
Step 29749 (59.5%) | train: 6.9361 | val: 6.9312 | ppl: 1023.7 | tok/s: 621,566 | remaining steps: 20251s
Step 29999 (60.0%) | train: 6.9366 | val: 6.9394 | ppl: 1032.1 | tok/s: 620,568 | remaining steps: 20001s
Step 30249 (60.5%) | train: 6.9354 | val: 6.9429 | ppl: 1035.8 | tok/s: 620,201 | remaining steps: 19751s
Step 30499 (61.0%) | train: 6.9338 | val: 6.9316 | ppl: 1024.2 | tok/s: 620,044 | remaining steps: 19501s
Step 30749 (61.5%) | train: 6.9248 | val: 6.9150 | ppl: 1007.3 | tok/s: 619,725 | remaining steps: 19251s
Step 30999 (62.0%) | train: 6.9225 | val: 6.9367 | ppl: 1029.3 | tok/s: 618,465 | remaining steps: 19001s
Step 31249 (62.5%) | train: 6.9141 | val: 6.9059 | ppl: 998.1 | tok/s: 620,993 | remaining steps: 18751s
Step 31499 (63.0%) | train: 6.9047 | val: 6.9213 | ppl: 1013.6 | tok/s: 619,617 | remaining steps: 18501s
Step 31749 (63.5%) | train: 6.9066 | val: 6.9181 | ppl: 1010.4 | tok/s: 621,329 | remaining steps: 18251s
Step 31999 (64.0%) | train: 6.9093 | val: 6.9137 | ppl: 1005.9 | tok/s: 619,781 | remaining steps: 18001s
Step 32249 (64.5%) | train: 6.9085 | val: 6.9169 | ppl: 1009.2 | tok/s: 620,057 | remaining steps: 17751s
Step 32499 (65.0%) | train: 6.9065 | val: 6.9186 | ppl: 1010.9 | tok/s: 620,183 | remaining steps: 17501s
Step 32749 (65.5%) | train: 6.8909 | val: 6.9139 | ppl: 1006.2 | tok/s: 619,917 | remaining steps: 17251s
