Step 12749 (25.5%) | train: 3.1130 | val: 3.2820 | ppl: 26.6 | tok/s: 614,545 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.1012 | val: 3.2660 | ppl: 26.2 | tok/s: 614,491 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.1047 | val: 3.2325 | ppl: 25.3 | tok/s: 616,788 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.1126 | val: 3.2384 | ppl: 25.5 | tok/s: 612,793 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.0981 | val: 3.2790 | ppl: 26.5 | tok/s: 616,581 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.0856 | val: 3.2199 | ppl: 25.0 | tok/s: 614,426 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.0882 | val: 3.2589 | ppl: 26.0 | tok/s: 617,175 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.0879 | val: 3.2634 | ppl: 26.1 | tok/s: 617,221 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.0745 | val: 3.2244 | ppl: 25.1 | tok/s: 616,775 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.0711 | val: 3.2282 | ppl: 25.2 | tok/s: 616,439 | remaining steps: 35001s
Step 15249 (30.5%) | train: 3.0669 | val: 3.2116 | ppl: 24.8 | tok/s: 616,111 | remaining steps: 34751s
Step 15499 (31.0%) | train: 3.0838 | val: 3.2226 | ppl: 25.1 | tok/s: 617,713 | remaining steps: 34501s
Step 15749 (31.5%) | train: 3.0515 | val: 3.2085 | ppl: 24.7 | tok/s: 617,948 | remaining steps: 34251s
Step 15999 (32.0%) | train: 3.0699 | val: 3.2401 | ppl: 25.5 | tok/s: 618,507 | remaining steps: 34001s
Step 16249 (32.5%) | train: 3.0660 | val: 3.2333 | ppl: 25.4 | tok/s: 616,424 | remaining steps: 33751s
Step 16499 (33.0%) | train: 3.0685 | val: 3.2178 | ppl: 25.0 | tok/s: 616,471 | remaining steps: 33501s
Step 16749 (33.5%) | train: 3.0453 | val: 3.2103 | ppl: 24.8 | tok/s: 616,084 | remaining steps: 33251s
Step 16999 (34.0%) | train: 3.0439 | val: 3.1874 | ppl: 24.2 | tok/s: 617,462 | remaining steps: 33001s
Step 17249 (34.5%) | train: 3.0388 | val: 3.2150 | ppl: 24.9 | tok/s: 617,049 | remaining steps: 32751s
Step 17499 (35.0%) | train: 3.0408 | val: 3.2202 | ppl: 25.0 | tok/s: 613,979 | remaining steps: 32501s
Step 17749 (35.5%) | train: 3.0372 | val: 3.1970 | ppl: 24.5 | tok/s: 617,183 | remaining steps: 32251s
Step 17999 (36.0%) | train: 3.0362 | val: 3.2214 | ppl: 25.1 | tok/s: 617,225 | remaining steps: 32001s
Step 18249 (36.5%) | train: 3.0364 | val: 3.1999 | ppl: 24.5 | tok/s: 617,479 | remaining steps: 31751s
