Step 0249 (0.5%) | train: 7.5687 | val: 7.5174 | ppl: 1839.8 | tok/s: 611,713 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.6588 | val: 6.6344 | ppl: 760.8 | tok/s: 607,183 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0998 | val: 6.0764 | ppl: 435.5 | tok/s: 606,670 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.5067 | val: 5.4973 | ppl: 244.0 | tok/s: 604,019 | remaining steps: 49001s
Step 1249 (2.5%) | train: 4.9839 | val: 4.9871 | ppl: 146.5 | tok/s: 605,437 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.6140 | val: 4.6297 | ppl: 102.5 | tok/s: 606,840 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.3066 | val: 4.3482 | ppl: 77.3 | tok/s: 606,987 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.0565 | val: 4.0876 | ppl: 59.6 | tok/s: 608,460 | remaining steps: 48001s
Step 2249 (4.5%) | train: 3.8732 | val: 3.9176 | ppl: 50.3 | tok/s: 606,524 | remaining steps: 47751s
Step 2499 (5.0%) | train: 3.7421 | val: 3.7896 | ppl: 44.2 | tok/s: 608,530 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.6191 | val: 3.6887 | ppl: 40.0 | tok/s: 608,468 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.5392 | val: 3.6160 | ppl: 37.2 | tok/s: 608,061 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.4953 | val: 3.5514 | ppl: 34.9 | tok/s: 608,643 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.4373 | val: 3.5271 | ppl: 34.0 | tok/s: 607,335 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.3754 | val: 3.4703 | ppl: 32.1 | tok/s: 607,151 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.3615 | val: 3.4340 | ppl: 31.0 | tok/s: 604,806 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.3284 | val: 3.4167 | ppl: 30.5 | tok/s: 603,303 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.2933 | val: 3.4013 | ppl: 30.0 | tok/s: 606,282 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.2807 | val: 3.3676 | ppl: 29.0 | tok/s: 604,766 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.2463 | val: 3.3507 | ppl: 28.5 | tok/s: 606,660 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.2268 | val: 3.3389 | ppl: 28.2 | tok/s: 606,390 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.2009 | val: 3.3391 | ppl: 28.2 | tok/s: 606,969 | remaining steps: 44501s
