Step 12749 (25.5%) | train: 3.2603 | val: 3.3606 | ppl: 28.8 | tok/s: 585,355 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.2478 | val: 3.3439 | ppl: 28.3 | tok/s: 585,744 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.2571 | val: 3.3122 | ppl: 27.4 | tok/s: 585,737 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.2653 | val: 3.3170 | ppl: 27.6 | tok/s: 584,876 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.2552 | val: 3.3562 | ppl: 28.7 | tok/s: 584,763 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.2467 | val: 3.3037 | ppl: 27.2 | tok/s: 584,208 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.2510 | val: 3.3447 | ppl: 28.4 | tok/s: 584,018 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.2532 | val: 3.3436 | ppl: 28.3 | tok/s: 585,285 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.2440 | val: 3.3104 | ppl: 27.4 | tok/s: 585,475 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.2383 | val: 3.3149 | ppl: 27.5 | tok/s: 584,035 | remaining steps: 35001s
Step 15249 (30.5%) | train: 3.2423 | val: 3.3041 | ppl: 27.2 | tok/s: 585,661 | remaining steps: 34751s
Step 15499 (31.0%) | train: 3.2570 | val: 3.3157 | ppl: 27.5 | tok/s: 584,987 | remaining steps: 34501s
Step 15749 (31.5%) | train: 3.2283 | val: 3.3022 | ppl: 27.2 | tok/s: 585,343 | remaining steps: 34251s
Step 15999 (32.0%) | train: 3.2484 | val: 3.3365 | ppl: 28.1 | tok/s: 585,006 | remaining steps: 34001s
Step 16249 (32.5%) | train: 3.2484 | val: 3.3323 | ppl: 28.0 | tok/s: 584,426 | remaining steps: 33751s
Step 16499 (33.0%) | train: 3.2535 | val: 3.3119 | ppl: 27.4 | tok/s: 584,445 | remaining steps: 33501s
Step 16749 (33.5%) | train: 3.2340 | val: 3.3057 | ppl: 27.3 | tok/s: 584,339 | remaining steps: 33251s
Step 16999 (34.0%) | train: 3.2305 | val: 3.2875 | ppl: 26.8 | tok/s: 584,327 | remaining steps: 33001s
Step 17249 (34.5%) | train: 3.2309 | val: 3.3077 | ppl: 27.3 | tok/s: 583,971 | remaining steps: 32751s
Step 17499 (35.0%) | train: 3.2327 | val: 3.3196 | ppl: 27.6 | tok/s: 585,245 | remaining steps: 32501s
Step 17749 (35.5%) | train: 3.2348 | val: 3.3058 | ppl: 27.3 | tok/s: 584,156 | remaining steps: 32251s
Step 17999 (36.0%) | train: 3.2334 | val: 3.3254 | ppl: 27.8 | tok/s: 582,809 | remaining steps: 32001s
Step 18249 (36.5%) | train: 3.2323 | val: 3.3001 | ppl: 27.1 | tok/s: 583,119 | remaining steps: 31751s
Step 18499 (37.0%) | train: 3.2375 | val: 3.3131 | ppl: 27.5 | tok/s: 585,144 | remaining steps: 31501s
Step 18749 (37.5%) | train: 3.2344 | val: 3.3032 | ppl: 27.2 | tok/s: 585,528 | remaining steps: 31251s
Step 18999 (38.0%) | train: 3.2302 | val: 3.2998 | ppl: 27.1 | tok/s: 584,719 | remaining steps: 31001s
Step 19249 (38.5%) | train: 3.2359 | val: 3.2978 | ppl: 27.1 | tok/s: 584,760 | remaining steps: 30751s
Step 19499 (39.0%) | train: 3.2229 | val: 3.2937 | ppl: 26.9 | tok/s: 586,135 | remaining steps: 30501s
Step 19749 (39.5%) | train: 3.2301 | val: 3.3120 | ppl: 27.4 | tok/s: 584,859 | remaining steps: 30251s
Step 19999 (40.0%) | train: 3.2299 | val: 3.2934 | ppl: 26.9 | tok/s: 583,107 | remaining steps: 30001s
Step 20249 (40.5%) | train: 3.2280 | val: 3.2983 | ppl: 27.1 | tok/s: 582,808 | remaining steps: 29751s
Step 20499 (41.0%) | train: 3.2276 | val: 3.3056 | ppl: 27.3 | tok/s: 585,303 | remaining steps: 29501s
Step 20749 (41.5%) | train: 3.2347 | val: 3.2930 | ppl: 26.9 | tok/s: 583,854 | remaining steps: 29251s
Step 20999 (42.0%) | train: 3.2197 | val: 3.3281 | ppl: 27.9 | tok/s: 584,065 | remaining steps: 29001s
Step 21249 (42.5%) | train: 3.2197 | val: 3.2861 | ppl: 26.7 | tok/s: 583,904 | remaining steps: 28751s
Step 21499 (43.0%) | train: 3.2101 | val: 3.2941 | ppl: 27.0 | tok/s: 583,521 | remaining steps: 28501s
Step 21749 (43.5%) | train: 3.2106 | val: 3.3054 | ppl: 27.3 | tok/s: 582,398 | remaining steps: 28251s
Step 21999 (44.0%) | train: 3.2291 | val: 3.3069 | ppl: 27.3 | tok/s: 583,803 | remaining steps: 28001s
Step 22249 (44.5%) | train: 3.2251 | val: 3.3076 | ppl: 27.3 | tok/s: 585,372 | remaining steps: 27751s
Step 22499 (45.0%) | train: 3.2248 | val: 3.2959 | ppl: 27.0 | tok/s: 585,397 | remaining steps: 27501s
Step 22749 (45.5%) | train: 3.2099 | val: 3.2938 | ppl: 26.9 | tok/s: 584,616 | remaining steps: 27251s
Step 22999 (46.0%) | train: 3.2179 | val: 3.2924 | ppl: 26.9 | tok/s: 580,863 | remaining steps: 27001s
Step 23249 (46.5%) | train: 3.1993 | val: 3.3123 | ppl: 27.4 | tok/s: 583,621 | remaining steps: 26751s
Step 23499 (47.0%) | train: 3.2215 | val: 3.2730 | ppl: 26.4 | tok/s: 583,254 | remaining steps: 26501s
Step 23749 (47.5%) | train: 3.1935 | val: 3.2950 | ppl: 27.0 | tok/s: 583,284 | remaining steps: 26251s
Step 23999 (48.0%) | train: 3.2192 | val: 3.2820 | ppl: 26.6 | tok/s: 584,961 | remaining steps: 26001s
Step 24249 (48.5%) | train: 3.2154 | val: 3.2940 | ppl: 26.9 | tok/s: 584,650 | remaining steps: 25751s
Step 24499 (49.0%) | train: 3.2140 | val: 3.3002 | ppl: 27.1 | tok/s: 584,822 | remaining steps: 25501s
Step 24749 (49.5%) | train: 3.2221 | val: 3.2629 | ppl: 26.1 | tok/s: 584,360 | remaining steps: 25251s
Step 24999 (50.0%) | train: 3.2114 | val: 3.2921 | ppl: 26.9 | tok/s: 583,127 | remaining steps: 25001s
Step 25249 (50.5%) | train: 3.2036 | val: 3.2806 | ppl: 26.6 | tok/s: 584,915 | remaining steps: 24751s
Step 25499 (51.0%) | train: 3.2053 | val: 3.3022 | ppl: 27.2 | tok/s: 585,757 | remaining steps: 24501s
Step 25749 (51.5%) | train: 3.2025 | val: 3.2957 | ppl: 27.0 | tok/s: 584,467 | remaining steps: 24251s
Step 25999 (52.0%) | train: 3.1879 | val: 3.2763 | ppl: 26.5 | tok/s: 586,451 | remaining steps: 24001s
Step 26249 (52.5%) | train: 3.2029 | val: 3.2591 | ppl: 26.0 | tok/s: 583,143 | remaining steps: 23751s
Step 26499 (53.0%) | train: 3.1984 | val: 3.2608 | ppl: 26.1 | tok/s: 584,050 | remaining steps: 23501s
Step 26749 (53.5%) | train: 3.1862 | val: 3.2697 | ppl: 26.3 | tok/s: 584,764 | remaining steps: 23251s
Step 26999 (54.0%) | train: 3.1862 | val: 3.2457 | ppl: 25.7 | tok/s: 584,074 | remaining steps: 23001s
Step 27249 (54.5%) | train: 3.1746 | val: 3.2658 | ppl: 26.2 | tok/s: 582,280 | remaining steps: 22751s
Step 27499 (55.0%) | train: 3.1873 | val: 3.2470 | ppl: 25.7 | tok/s: 584,321 | remaining steps: 22501s
Step 27749 (55.5%) | train: 3.1668 | val: 3.2376 | ppl: 25.5 | tok/s: 584,730 | remaining steps: 22251s
Step 27999 (56.0%) | train: 3.1795 | val: 3.2669 | ppl: 26.2 | tok/s: 583,896 | remaining steps: 22001s
Step 28249 (56.5%) | train: 3.1782 | val: 3.2538 | ppl: 25.9 | tok/s: 585,801 | remaining steps: 21751s
Step 28499 (57.0%) | train: 3.1533 | val: 3.2289 | ppl: 25.3 | tok/s: 584,326 | remaining steps: 21501s
Step 28749 (57.5%) | train: 3.1692 | val: 3.2617 | ppl: 26.1 | tok/s: 583,325 | remaining steps: 21251s
Step 28999 (58.0%) | train: 3.1703 | val: 3.2417 | ppl: 25.6 | tok/s: 583,422 | remaining steps: 21001s
Step 29249 (58.5%) | train: 3.1585 | val: 3.2595 | ppl: 26.0 | tok/s: 586,094 | remaining steps: 20751s
Step 29499 (59.0%) | train: 3.1572 | val: 3.2396 | ppl: 25.5 | tok/s: 583,463 | remaining steps: 20501s
Step 29749 (59.5%) | train: 3.1572 | val: 3.2473 | ppl: 25.7 | tok/s: 584,497 | remaining steps: 20251s
Step 29999 (60.0%) | train: 3.1518 | val: 3.2360 | ppl: 25.4 | tok/s: 583,398 | remaining steps: 20001s
