Step 0249 (0.5%) | train: 7.6981 | val: 7.6336 | ppl: 2066.5 | tok/s: 618,662 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.5635 | val: 6.5391 | ppl: 691.7 | tok/s: 614,042 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0533 | val: 6.0262 | ppl: 414.1 | tok/s: 612,942 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.6044 | val: 5.6036 | ppl: 271.4 | tok/s: 613,635 | remaining steps: 49001s
Step 1249 (2.5%) | train: 5.2271 | val: 5.2256 | ppl: 186.0 | tok/s: 613,039 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.9460 | val: 4.9627 | ppl: 143.0 | tok/s: 614,823 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.6948 | val: 4.7222 | ppl: 112.4 | tok/s: 613,503 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.5173 | val: 4.5325 | ppl: 93.0 | tok/s: 615,275 | remaining steps: 48001s
Step 2249 (4.5%) | train: 4.3331 | val: 4.3819 | ppl: 80.0 | tok/s: 615,290 | remaining steps: 47751s
Step 2499 (5.0%) | train: 4.1541 | val: 4.1891 | ppl: 66.0 | tok/s: 614,402 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.9628 | val: 4.0140 | ppl: 55.4 | tok/s: 616,415 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.8391 | val: 3.9003 | ppl: 49.4 | tok/s: 616,350 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.7672 | val: 3.8038 | ppl: 44.9 | tok/s: 615,741 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.6819 | val: 3.7523 | ppl: 42.6 | tok/s: 615,624 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.6077 | val: 3.6797 | ppl: 39.6 | tok/s: 615,559 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.5815 | val: 3.6387 | ppl: 38.0 | tok/s: 615,658 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.5412 | val: 3.6063 | ppl: 36.8 | tok/s: 613,671 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.4984 | val: 3.5818 | ppl: 35.9 | tok/s: 615,200 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.4836 | val: 3.5382 | ppl: 34.4 | tok/s: 615,942 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.4428 | val: 3.5222 | ppl: 33.9 | tok/s: 611,913 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.4222 | val: 3.5034 | ppl: 33.2 | tok/s: 616,605 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3934 | val: 3.5005 | ppl: 33.1 | tok/s: 615,083 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.4006 | val: 3.4674 | ppl: 32.1 | tok/s: 614,828 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.3731 | val: 3.4428 | ppl: 31.3 | tok/s: 614,105 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.3516 | val: 3.4260 | ppl: 30.8 | tok/s: 614,797 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.3433 | val: 3.4166 | ppl: 30.5 | tok/s: 614,834 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.3179 | val: 3.4044 | ppl: 30.1 | tok/s: 614,483 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.2824 | val: 3.4233 | ppl: 30.7 | tok/s: 614,080 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.2937 | val: 3.3802 | ppl: 29.4 | tok/s: 614,876 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.2940 | val: 3.4021 | ppl: 30.0 | tok/s: 614,259 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.2795 | val: 3.3854 | ppl: 29.5 | tok/s: 613,938 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.2541 | val: 3.3655 | ppl: 28.9 | tok/s: 614,218 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.2537 | val: 3.3742 | ppl: 29.2 | tok/s: 614,768 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.2469 | val: 3.3326 | ppl: 28.0 | tok/s: 613,598 | remaining steps: 41501s
Step 8749 (17.5%) | train: 3.2223 | val: 3.3402 | ppl: 28.2 | tok/s: 614,581 | remaining steps: 41251s
Step 8999 (18.0%) | train: 3.2262 | val: 3.3496 | ppl: 28.5 | tok/s: 614,982 | remaining steps: 41001s
Step 9249 (18.5%) | train: 3.2139 | val: 3.3343 | ppl: 28.1 | tok/s: 613,707 | remaining steps: 40751s
Step 9499 (19.0%) | train: 3.2186 | val: 3.3324 | ppl: 28.0 | tok/s: 614,316 | remaining steps: 40501s
Step 9749 (19.5%) | train: 3.1849 | val: 3.3008 | ppl: 27.1 | tok/s: 613,435 | remaining steps: 40251s
Step 9999 (20.0%) | train: 3.1704 | val: 3.3281 | ppl: 27.9 | tok/s: 612,776 | remaining steps: 40001s
Step 10249 (20.5%) | train: 3.1624 | val: 3.3086 | ppl: 27.3 | tok/s: 614,791 | remaining steps: 39751s
Step 10499 (21.0%) | train: 3.1753 | val: 3.3285 | ppl: 27.9 | tok/s: 612,536 | remaining steps: 39501s
Step 10749 (21.5%) | train: 3.1668 | val: 3.2920 | ppl: 26.9 | tok/s: 613,291 | remaining steps: 39251s
Step 10999 (22.0%) | train: 3.1781 | val: 3.3087 | ppl: 27.3 | tok/s: 613,091 | remaining steps: 39001s
Step 11249 (22.5%) | train: 3.1530 | val: 3.3008 | ppl: 27.1 | tok/s: 614,539 | remaining steps: 38751s
Step 11499 (23.0%) | train: 3.1476 | val: 3.2850 | ppl: 26.7 | tok/s: 615,593 | remaining steps: 38501s
Step 11749 (23.5%) | train: 3.1437 | val: 3.3074 | ppl: 27.3 | tok/s: 613,519 | remaining steps: 38251s
Step 11999 (24.0%) | train: 3.1314 | val: 3.2872 | ppl: 26.8 | tok/s: 615,163 | remaining steps: 38001s
Step 12249 (24.5%) | train: 3.1535 | val: 3.2904 | ppl: 26.9 | tok/s: 614,676 | remaining steps: 37751s
Step 12499 (25.0%) | train: 3.1181 | val: 3.2797 | ppl: 26.6 | tok/s: 615,360 | remaining steps: 37501s
