optimizer      step     rankme         pr    alpha_req             lr
--------------------------------------------------------------------
AdamW           400     3.1449     1.9803     0.786406   4.788000e-05
AdamW           800    47.7925    15.8306     0.783276   9.588000e-05
AdamW          1200    95.5207    37.7855     0.859876   1.438800e-04
AdamW          1600   108.8401    48.0261     0.904135   1.918800e-04
AdamW          2000   126.3939    56.1795     0.858566   2.398800e-04
AdamW          2400   156.0551    72.8101     0.791728   2.878800e-04
AdamW          2800   172.1128    79.7793     0.755456   3.000000e-04
AdamW          3200   190.7988    92.9746     0.716873   3.000000e-04
AdamW          3600   194.4767    88.1071     0.693978   3.000000e-04
AdamW          4000   206.1647    96.9931     0.669476   3.000000e-04
AdamW          4400   207.5389    93.5522     0.656112   3.000000e-04
AdamW          4800   220.4064   101.8006     0.632925   3.000000e-04
AdamW          5200   215.3105    93.1086     0.629423   3.000000e-04
AdamW          5600   221.7628    98.7568     0.615957   3.000000e-04
AdamW          6000   222.1252    97.1276     0.608605   3.000000e-04
AdamW          6400   227.9307    98.9190     0.595907   3.000000e-04
AdamW          6800   226.7420    98.3373     0.591516   3.000000e-04
AdamW          7200   232.8933   102.9664     0.584872   3.000000e-04
AdamW          7600   229.3223    98.4077     0.581559   3.000000e-04
AdamW          8000   231.1451   100.0288     0.577661   3.000000e-04
AdamW          8400   230.8364    96.7427     0.571010   3.000000e-04
AdamW          8800   229.9176    94.8720     0.569690   3.000000e-04
AdamW          9200   236.4594   102.8097     0.564207   3.000000e-04
AdamW          9600   236.0347    99.7778     0.560838   3.000000e-04
AdamW         10000   237.9854   103.7758     0.559704   3.000000e-04
AdamW         10400   233.8809   101.0376     0.562020   3.000000e-04
AdamW         10800   238.6231   100.5855     0.552634   3.000000e-04
AdamW         11200   241.2913   104.3343     0.548302   3.000000e-04
AdamW         11600   238.0777    99.5752     0.550435   3.000000e-04
AdamW         12000   247.3357   109.8482     0.542350   3.000000e-04
AdamW         12400   238.4293    99.0221     0.544461   3.000000e-04
AdamW         12800   238.4257    99.7965     0.546988   3.000000e-04
AdamW         13200   240.3148   100.7697     0.544124   3.000000e-04
AdamW         13600   238.7174    99.2872     0.542797   3.000000e-04
AdamW         14000   239.8071   101.1596     0.544462   3.000000e-04
AdamW         14400   242.5280   104.9759     0.542156   3.000000e-04
AdamW         14800   237.7838    98.2911     0.542125   3.000000e-04
AdamW         15200   243.0265   104.6377     0.540886   3.000000e-04
AdamW         15600   239.8380    98.3688     0.539809   3.000000e-04
AdamW         16000   238.3680    96.8701     0.538255   3.000000e-04
AdamW         16400   241.8405   103.6673     0.541804   3.000000e-04
AdamW         16800   243.1825    98.3045     0.531506   3.000000e-04
AdamW         17200   249.6953   107.8782     0.530326   3.000000e-04
AdamW         17600   237.7617    92.6714     0.534186   3.000000e-04
AdamW         18000   243.7772   102.1926     0.535181   3.000000e-04
AdamW         18400   248.1768   105.6670     0.530472   3.000000e-04
AdamW         18800   243.8873   101.9886     0.532303   3.000000e-04
AdamW         19200   243.1995   100.4394     0.531033   3.000000e-04
AdamW         19600   246.4808   105.2099     0.531747   3.000000e-04
AdamW         20000   242.1883    98.3655     0.533060   3.000000e-04
AdamW         20400   247.5973   103.5637     0.527828   3.000000e-04
AdamW         20800   249.4626   103.9048     0.525755   3.000000e-04
AdamW         21200   242.6521    98.9774     0.530875   3.000000e-04
AdamW         21600   242.4499    99.6381     0.530070   3.000000e-04
AdamW         22000   244.3422    99.9396     0.528418   3.000000e-04
AdamW         22400   241.0644    97.1525     0.529756   3.000000e-04
AdamW         22800   239.1452    96.6847     0.535645   3.000000e-04
AdamW         23200   240.9409    95.7569     0.528598   3.000000e-04
AdamW         23600   243.4365    97.3497     0.526204   3.000000e-04
AdamW         24000   243.0205    98.0750     0.525540   3.000000e-04
AdamW         24400   248.2081   102.4733     0.521719   3.000000e-04
AdamW         24800   247.0550   102.4435     0.525232   3.000000e-04
AdamW         25200   245.3716    98.8991     0.524982   3.000000e-04
AdamW         25600   245.3635    99.6946     0.524335   3.000000e-04
AdamW         26000   247.0804    99.9604     0.522546   3.000000e-04
AdamW         26400   244.6651   100.4881     0.526918   3.000000e-04
AdamW         26800   253.3605   109.2372     0.519973   3.000000e-04
AdamW         27200   252.4514   106.0074     0.518508   3.000000e-04
AdamW         27600   245.5833   100.7879     0.524268   3.000000e-04
AdamW         28000   244.8249    97.3819     0.522653   3.000000e-04
AdamW         28400   243.6888    97.7656     0.522899   3.000000e-04
AdamW         28800   242.7553    97.7995     0.527772   3.000000e-04
AdamW         29200   243.7640    97.6174     0.523481   3.000000e-04
AdamW         29600   250.1040   105.1751     0.520276   3.000000e-04
AdamW         30000   247.7467   101.7054     0.521892   3.000000e-04
AdamW         30400   252.2830   107.4528     0.517449   3.000000e-04
AdamW         30800   248.8119   103.4287     0.519487   3.000000e-04
AdamW         31200   243.5662    96.6466     0.524109   3.000000e-04
AdamW         31600   250.4168   105.8513     0.517760   3.000000e-04
AdamW         32000   248.3554   102.3453     0.521612   3.000000e-04
AdamW         32400   247.0353    99.9017     0.519850   3.000000e-04
AdamW         32800   249.5953   104.3992     0.519425   3.000000e-04
AdamW         33200   245.9455    97.7080     0.519725   3.000000e-04
AdamW         33600   248.3165   101.8422     0.520335   3.000000e-04
AdamW         34000   242.4205    94.7978     0.520956   3.000000e-04
AdamW         34400   245.3716   102.5661     0.522900   3.000000e-04
AdamW         34800   250.4629   104.6257     0.517934   3.000000e-04
AdamW         35200   242.8729    97.4808     0.522333   3.000000e-04
AdamW         35600   250.7771   104.4282     0.518276   3.000000e-04
AdamW         36000   251.6221   104.4526     0.516776   3.000000e-04
AdamW         36400   246.7420    99.0465     0.520149   3.000000e-04
AdamW         36800   249.4481   104.1315     0.517443   3.000000e-04
AdamW         37200   246.1976    99.3846     0.520149   3.000000e-04
AdamW         37600   249.4984   102.8677     0.518171   3.000000e-04
AdamW         38000   250.6215   103.7593     0.516487   3.000000e-04
AdamW         38400   247.5424   100.3411     0.518211   3.000000e-04
AdamW         38800   249.9414   103.9968     0.517271   3.000000e-04
AdamW         39200   246.2760    98.4416     0.515414   3.000000e-04
AdamW         39600   244.5809    97.3320     0.519911   3.000000e-04
AdamW         40000   247.8949   103.3062     0.520046   3.000000e-04
AdamW         40400   247.9117    97.9047     0.515913   3.000000e-04
AdamW         40800   249.8681   103.7780     0.516234   3.000000e-04
AdamW         41200   249.3680   100.3668     0.513161   3.000000e-04
AdamW         41600   250.0760   103.8165     0.518279   3.000000e-04
AdamW         42000   248.7220   101.4673     0.515179   3.000000e-04
AdamW         42400   249.4090   100.7186     0.514453   3.000000e-04
AdamW         42800   248.2239    98.1243     0.515773   3.000000e-04
AdamW         43200   249.8008   100.3862     0.514227   3.000000e-04
AdamW         43600   255.0051   107.3975     0.513434   3.000000e-04
AdamW         44000   244.9852    94.6168     0.515136   3.000000e-04
AdamW         44400   251.5449   102.1958     0.513406   3.000000e-04
AdamW         44800   244.4303    95.3250     0.518680   3.000000e-04
AdamW         45200   249.6431   102.3466     0.514548   2.892540e-04
AdamW         45600   247.1184    99.4716     0.517165   2.676540e-04
AdamW         46000   251.2418   103.0062     0.511598   2.460540e-04
AdamW         46400   248.4038    98.1945     0.511886   2.244540e-04
AdamW         46800   255.2503   107.6532     0.511228   2.028540e-04
AdamW         47200   245.6235    95.7662     0.514672   1.812540e-04
AdamW         47600   247.8215   100.5395     0.514442   1.596540e-04
AdamW         48000   254.6576   104.3143     0.508941   1.380540e-04
AdamW         48400   254.7032   102.5811     0.503850   1.164540e-04
AdamW         48800   259.5557   110.0268     0.505358   9.485400e-05
AdamW         49200   258.2370   107.1107     0.503682   7.325400e-05
AdamW         49600   258.0171   106.1416     0.504332   5.165400e-05
AdamW         50000   257.6687   107.6527     0.505351   3.005400e-05
Adam            400     3.1492     1.9753     0.811835   4.788000e-05
Adam            800    48.2536    16.3319     0.811406   9.588000e-05
Adam           1200    87.7564    33.4838     0.864767   1.438800e-04
Adam           1600   107.2548    45.0005     0.907435   1.918800e-04
Adam           2000   132.8830    58.7365     0.853505   2.398800e-04
Adam           2400   151.0057    68.1844     0.798333   2.878800e-04
Adam           2800   173.8673    80.8392     0.748143   3.000000e-04
Adam           3200   193.2907    94.7071     0.710664   3.000000e-04
Adam           3600   199.3371    92.4525     0.683907   3.000000e-04
Adam           4000   203.5788    92.3493     0.667120   3.000000e-04
Adam           4400   209.9810    91.7603     0.646640   3.000000e-04
Adam           4800   216.6587    98.3151     0.632645   3.000000e-04
Adam           5200   221.1488    99.4585     0.619848   3.000000e-04
Adam           5600   218.8802    92.4334     0.610066   3.000000e-04
Adam           6000   224.6214    96.8271     0.597746   3.000000e-04
Adam           6400   225.4378    97.6813     0.592359   3.000000e-04
Adam           6800   230.4700    97.4483     0.582004   3.000000e-04
Adam           7200   231.1541    97.5720     0.578723   3.000000e-04
Adam           7600   230.1620    97.1576     0.575459   3.000000e-04
Adam           8000   233.4299    98.5825     0.568878   3.000000e-04
Adam           8400   225.4909    89.9565     0.571120   3.000000e-04
Adam           8800   229.3899    91.9388     0.562970   3.000000e-04
Adam           9200   233.3004    95.8834     0.559792   3.000000e-04
Adam           9600   232.4908    95.4220     0.558338   3.000000e-04
Adam          10000   231.7149    92.3134     0.553863   3.000000e-04
Adam          10400   228.9634    92.3962     0.557908   3.000000e-04
Adam          10800   229.1323    88.9444     0.554178   3.000000e-04
Adam          11200   234.3862    94.1233     0.548062   3.000000e-04
Adam          11600   231.4983    88.3811     0.546287   3.000000e-04
Adam          12000   232.9849    94.0713     0.549097   3.000000e-04
Adam          12400   231.2832    91.8138     0.549983   3.000000e-04
Adam          12800   230.1265    88.9693     0.547646   3.000000e-04
Adam          13200   230.5337    89.1084     0.546103   3.000000e-04
Adam          13600   236.0198    98.5709     0.544778   3.000000e-04
Adam          14000   226.4298    84.1510     0.546720   3.000000e-04
Adam          14400   227.1778    87.2280     0.548597   3.000000e-04
Adam          14800   234.6293    92.8744     0.539938   3.000000e-04
Adam          15200   230.6485    88.9648     0.541945   3.000000e-04
Adam          15600   230.0158    87.8354     0.540624   3.000000e-04
Adam          16000   231.9399    91.6141     0.541093   3.000000e-04
Adam          16400   228.5070    85.7505     0.539549   3.000000e-04
Adam          16800   225.9088    84.2921     0.543117   3.000000e-04
Adam          17200   232.1607    88.7520     0.535336   3.000000e-04
Adam          17600   229.0556    86.8715     0.540357   3.000000e-04
Adam          18000   227.1138    84.3814     0.540734   3.000000e-04
Adam          18400   228.0256    84.7279     0.539341   3.000000e-04
Adam          18800   221.5930    79.8279     0.543463   3.000000e-04
Adam          19200   228.7264    84.1904     0.537432   3.000000e-04
Adam          19600   225.1900    82.1166     0.539453   3.000000e-04
Adam          20000   221.5346    77.7820     0.539060   3.000000e-04
Adam          20400   222.6638    82.5331     0.544266   3.000000e-04
Adam          20800   226.0819    82.0944     0.536787   3.000000e-04
Adam          21200   222.7596    79.7846     0.538371   3.000000e-04
Adam          21600   220.7670    76.1092     0.539264   3.000000e-04
Adam          22000   218.8677    74.7382     0.539978   3.000000e-04
Adam          22400   223.0401    77.6854     0.536369   3.000000e-04
Adam          22800   217.1219    72.8044     0.538176   3.000000e-04
Adam          23200   221.8296    78.7472     0.538884   3.000000e-04
Adam          23600   216.6415    72.0998     0.537411   3.000000e-04
Adam          24000   218.8449    75.5773     0.538861   3.000000e-04
Adam          24400   219.8406    76.3135     0.538071   3.000000e-04
Adam          24800   213.3655    71.5014     0.543379   3.000000e-04
Adam          25200   216.5736    70.1127     0.534295   3.000000e-04
Adam          25600   216.8754    73.3555     0.538237   3.000000e-04
Adam          26000   216.7190    73.7925     0.537627   3.000000e-04
Adam          26400   216.5244    72.5610     0.537891   3.000000e-04
Adam          26800   215.8500    70.6815     0.534882   3.000000e-04
Adam          27200   215.7000    70.4965     0.537058   3.000000e-04
Adam          27600   214.9704    71.9954     0.537647   3.000000e-04
Adam          28000   217.2726    74.0353     0.538910   3.000000e-04
Adam          28400   213.4590    71.4763     0.541575   3.000000e-04
Adam          28800   214.3061    70.2920     0.538113   3.000000e-04
Adam          29200   213.5007    69.9947     0.537480   3.000000e-04
Adam          29600   218.2461    71.6345     0.534031   3.000000e-04
Adam          30000   210.8965    67.6361     0.540354   3.000000e-04
Adam          30400   213.6040    69.5587     0.540046   3.000000e-04
Adam          30800   208.5719    65.9926     0.539334   3.000000e-04
Adam          31200   213.3254    70.9527     0.537508   3.000000e-04
Adam          31600   204.9113    64.3866     0.544374   3.000000e-04
Adam          32000   207.7341    63.0313     0.535698   3.000000e-04
Adam          32400   211.4270    65.9978     0.536751   3.000000e-04
Adam          32800   215.2342    70.6196     0.534336   3.000000e-04
Adam          33200   204.5660    62.7479     0.541369   3.000000e-04
Adam          33600   207.4295    62.8161     0.537032   3.000000e-04
Adam          34000   208.7742    65.1180     0.537981   3.000000e-04
Adam          34400   205.5578    62.4834     0.539527   3.000000e-04
Adam          34800   208.5064    63.4254     0.537042   3.000000e-04
Adam          35200   202.7860    60.3864     0.539870   3.000000e-04
Adam          35600   206.5479    64.8707     0.540200   3.000000e-04
Adam          36000   206.1928    62.2221     0.536744   3.000000e-04
Adam          36400   207.1823    64.2145     0.538002   3.000000e-04
Adam          36800   205.3165    61.6195     0.538425   3.000000e-04
Adam          37200   212.5108    67.2943     0.535745   3.000000e-04
Adam          37600   204.0289    61.8972     0.539597   3.000000e-04
Adam          38000   206.8369    63.4730     0.535359   3.000000e-04
Adam          38400   204.8219    61.4421     0.538150   3.000000e-04
Adam          38800   204.5321    60.9565     0.538370   3.000000e-04
Adam          39200   199.4261    58.9559     0.541275   3.000000e-04
Adam          39600   204.1967    63.3699     0.541489   3.000000e-04
Adam          40000   197.6707    56.4449     0.539783   3.000000e-04
Adam          40400   202.3975    59.4403     0.536730   3.000000e-04
Adam          40800   198.4926    58.6835     0.542628   3.000000e-04
Adam          41200   198.9789    57.7105     0.541176   3.000000e-04
Adam          41600   204.8831    61.9700     0.538308   3.000000e-04
Adam          42000   198.4108    58.1064     0.543568   3.000000e-04
Adam          42400   206.0692    62.9742     0.538560   3.000000e-04
Adam          42800   203.9342    61.6671     0.540506   3.000000e-04
Adam          43200   199.7593    59.2698     0.542365   3.000000e-04
Adam          43600   197.6574    58.3762     0.542797   3.000000e-04
Adam          44000   196.1174    56.7360     0.542503   3.000000e-04
Adam          44400   198.3415    58.0326     0.540475   3.000000e-04
Adam          44800   194.2652    54.5019     0.543346   3.000000e-04
Adam          45200   197.7618    58.8447     0.543587   2.892540e-04
Adam          45600   201.9224    60.0699     0.538720   2.676540e-04
Adam          46000   196.1977    55.2297     0.539824   2.460540e-04
Adam          46400   198.5961    57.1646     0.540521   2.244540e-04
Adam          46800   200.1516    59.0740     0.540489   2.028540e-04
Adam          47200   196.7402    58.0466     0.544775   1.812540e-04
Adam          47600   202.4814    59.3871     0.535655   1.596540e-04
Adam          48000   193.2904    54.4559     0.544251   1.380540e-04
Adam          48400   196.4061    56.9984     0.541936   1.164540e-04
Adam          48800   203.1513    61.2987     0.537273   9.485400e-05
Adam          49200   201.7004    61.2704     0.540334   7.325400e-05
Adam          49600   207.1418    64.3161     0.535043   5.165400e-05
Adam          50000   201.9519    58.1622     0.536181   3.005400e-05
Muon            400     9.1262     4.9371     1.224691   3.192000e-03
Muon            800    69.0141    33.4597     1.077392   6.392000e-03
Muon           1200   123.9866    60.4898     0.911212   9.592000e-03
Muon           1600   165.5834    83.1843     0.803576   1.279200e-02
Muon           2000   195.5375    98.9174     0.723050   1.599200e-02
Muon           2400   212.7107   107.9711     0.674839   1.919200e-02
Muon           2800   229.1634   117.3869     0.636602   2.000000e-02
Muon           3200   235.6628   117.7823     0.611875   2.000000e-02
Muon           3600   240.4811   119.8625     0.598397   2.000000e-02
Muon           4000   233.9285   108.9082     0.592959   2.000000e-02
Muon           4400   245.7922   120.9334     0.577383   2.000000e-02
Muon           4800   242.1007   114.0492     0.574239   2.000000e-02
Muon           5200   246.9466   118.8542     0.566404   2.000000e-02
Muon           5600   241.6957   110.8677     0.564343   2.000000e-02
Muon           6000   243.3267   112.0899     0.559917   2.000000e-02
Muon           6400   242.1465   110.1984     0.556652   2.000000e-02
Muon           6800   249.5179   111.6555     0.544895   2.000000e-02
Muon           7200   241.5972   108.3909     0.554127   2.000000e-02
Muon           7600   242.7984   109.1359     0.550402   2.000000e-02
Muon           8000   250.3843   116.0188     0.544339   2.000000e-02
Muon           8400   248.5183   112.4597     0.543156   2.000000e-02
Muon           8800   240.3214   104.1118     0.547388   2.000000e-02
Muon           9200   243.3824   105.1901     0.543051   2.000000e-02
Muon           9600   243.1508   105.8804     0.544255   2.000000e-02
Muon          10000   243.2330   104.6215     0.542237   2.000000e-02
Muon          10400   240.8247   100.6271     0.541167   2.000000e-02
Muon          10800   243.7133   104.6895     0.540570   2.000000e-02
Muon          11200   233.3569    95.2457     0.548735   2.000000e-02
Muon          11600   244.4772   110.0650     0.544769   2.000000e-02
Muon          12000   238.6250   102.6817     0.546715   2.000000e-02
Muon          12400   240.9333   101.1022     0.539900   2.000000e-02
Muon          12800   241.8712   102.0921     0.539612   2.000000e-02
Muon          13200   244.3436   107.0408     0.540724   2.000000e-02
Muon          13600   239.7592   102.1884     0.541478   2.000000e-02
Muon          14000   246.7674   111.8489     0.542814   2.000000e-02
Muon          14400   238.2186   101.8669     0.545107   2.000000e-02
Muon          14800   238.2423   103.3094     0.546078   2.000000e-02
Muon          15200   233.9157    97.7494     0.549288   2.000000e-02
Muon          15600   239.7624   102.7852     0.544211   2.000000e-02
Muon          16000   237.6256   100.0336     0.544914   2.000000e-02
Muon          16400   231.5404    99.6284     0.555489   2.000000e-02
Muon          16800   237.2655   101.3441     0.547231   2.000000e-02
Muon          17200   235.2649   100.0244     0.549970   2.000000e-02
Muon          17600   229.7679    91.9268     0.549139   2.000000e-02
Muon          18000   232.3426   100.1473     0.556004   2.000000e-02
Muon          18400   232.4826   100.3352     0.556195   2.000000e-02
Muon          18800   231.3333    95.7635     0.551539   2.000000e-02
Muon          19200   234.0542    96.8871     0.546918   2.000000e-02
Muon          19600   234.1770    99.8669     0.551741   2.000000e-02
Muon          20000   234.6839   103.3071     0.553755   2.000000e-02
Muon          20400   230.2470    92.7010     0.549399   2.000000e-02
Muon          20800   225.2588    89.7232     0.553330   2.000000e-02
Muon          21200   231.9044    99.2609     0.555085   2.000000e-02
Muon          21600   231.2099    95.9575     0.550070   2.000000e-02
Muon          22000   232.5546    97.7981     0.549617   2.000000e-02
Muon          22400   223.7362    90.0363     0.557542   2.000000e-02
Muon          22800   223.8230    88.8601     0.559298   2.000000e-02
Muon          23200   227.2702    95.5198     0.557408   2.000000e-02
Muon          23600   229.4757    96.7821     0.554295   2.000000e-02
Muon          24000   227.1711    88.9763     0.553385   2.000000e-02
Muon          24400   237.4355   102.0751     0.545881   2.000000e-02
Muon          24800   229.4347    96.2477     0.554616   2.000000e-02
Muon          25200   229.0191    87.1351     0.546684   2.000000e-02
Muon          25600   226.7751    91.2563     0.554673   2.000000e-02
Muon          26000   226.1284    88.3688     0.550685   2.000000e-02
Muon          26400   227.6414    89.9400     0.551580   2.000000e-02
Muon          26800   223.8617    89.8038     0.557283   2.000000e-02
Muon          27200   231.9417    99.5901     0.555003   2.000000e-02
Muon          27600   226.2217    89.0253     0.549521   2.000000e-02
Muon          28000   232.6728    97.2146     0.550534   2.000000e-02
Muon          28400   234.1303    98.9909     0.548806   2.000000e-02
Muon          28800   232.4267    99.9444     0.554074   2.000000e-02
Muon          29200   229.2547    91.6145     0.550886   2.000000e-02
Muon          29600   231.8751    93.3448     0.547442   2.000000e-02
Muon          30000   233.6009    96.5171     0.549139   2.000000e-02
Muon          30400   220.3113    81.0521     0.550021   2.000000e-02
Muon          30800   230.6617    90.2233     0.544460   2.000000e-02
Muon          31200   228.0000    93.7540     0.555633   2.000000e-02
Muon          31600   235.4389   103.9964     0.553836   2.000000e-02
Muon          32000   225.2565    88.8482     0.551567   2.000000e-02
