Step 12749 (25.5%) | train: 3.1198 | val: 3.2920 | ppl: 26.9 | tok/s: 613,701 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.1064 | val: 3.2719 | ppl: 26.4 | tok/s: 613,514 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.1119 | val: 3.2396 | ppl: 25.5 | tok/s: 613,178 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.1187 | val: 3.2434 | ppl: 25.6 | tok/s: 612,669 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.1053 | val: 3.2886 | ppl: 26.8 | tok/s: 613,260 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.0918 | val: 3.2273 | ppl: 25.2 | tok/s: 610,290 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.0946 | val: 3.2654 | ppl: 26.2 | tok/s: 612,656 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.0956 | val: 3.2712 | ppl: 26.3 | tok/s: 610,398 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.0803 | val: 3.2299 | ppl: 25.3 | tok/s: 613,954 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.0762 | val: 3.2353 | ppl: 25.4 | tok/s: 613,416 | remaining steps: 35001s
Step 15249 (30.5%) | train: 3.0730 | val: 3.2179 | ppl: 25.0 | tok/s: 613,628 | remaining steps: 34751s
Step 15499 (31.0%) | train: 3.0901 | val: 3.2291 | ppl: 25.3 | tok/s: 612,887 | remaining steps: 34501s
Step 15749 (31.5%) | train: 3.0573 | val: 3.2149 | ppl: 24.9 | tok/s: 613,929 | remaining steps: 34251s
Step 15999 (32.0%) | train: 3.0757 | val: 3.2466 | ppl: 25.7 | tok/s: 613,869 | remaining steps: 34001s
Step 16249 (32.5%) | train: 3.0731 | val: 3.2410 | ppl: 25.6 | tok/s: 612,247 | remaining steps: 33751s
Step 16499 (33.0%) | train: 3.0740 | val: 3.2229 | ppl: 25.1 | tok/s: 614,319 | remaining steps: 33501s
Step 16749 (33.5%) | train: 3.0505 | val: 3.2215 | ppl: 25.1 | tok/s: 612,138 | remaining steps: 33251s
Step 16999 (34.0%) | train: 3.0499 | val: 3.1944 | ppl: 24.4 | tok/s: 612,890 | remaining steps: 33001s
Step 17249 (34.5%) | train: 3.0442 | val: 3.2223 | ppl: 25.1 | tok/s: 611,729 | remaining steps: 32751s
Step 17499 (35.0%) | train: 3.0459 | val: 3.2283 | ppl: 25.2 | tok/s: 612,230 | remaining steps: 32501s
