Step 0249 (0.5%) | train: 7.7449 | val: 7.6600 | ppl: 2121.8 | tok/s: 588,331 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.0982 | val: 6.0542 | ppl: 425.9 | tok/s: 580,435 | remaining steps: 49501s
Step 0749 (1.5%) | train: 5.0115 | val: 4.9892 | ppl: 146.8 | tok/s: 586,495 | remaining steps: 49251s
Step 0999 (2.0%) | train: 4.3108 | val: 4.3043 | ppl: 74.0 | tok/s: 587,501 | remaining steps: 49001s
Step 1249 (2.5%) | train: 3.9999 | val: 4.0294 | ppl: 56.2 | tok/s: 581,296 | remaining steps: 48751s
Step 1499 (3.0%) | train: 3.8387 | val: 3.8669 | ppl: 47.8 | tok/s: 588,768 | remaining steps: 48501s
Step 1749 (3.5%) | train: 3.7116 | val: 3.7541 | ppl: 42.7 | tok/s: 584,166 | remaining steps: 48251s
Step 1999 (4.0%) | train: 3.6640 | val: 3.6955 | ppl: 40.3 | tok/s: 589,676 | remaining steps: 48001s
Step 2249 (4.5%) | train: 3.6097 | val: 3.6484 | ppl: 38.4 | tok/s: 582,791 | remaining steps: 47751s
Step 2499 (5.0%) | train: 3.5749 | val: 3.6236 | ppl: 37.5 | tok/s: 587,482 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.5156 | val: 3.5750 | ppl: 35.7 | tok/s: 590,353 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.4816 | val: 3.5434 | ppl: 34.6 | tok/s: 586,291 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.4752 | val: 3.5112 | ppl: 33.5 | tok/s: 586,871 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.4437 | val: 3.5149 | ppl: 33.6 | tok/s: 587,449 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.4084 | val: 3.4796 | ppl: 32.4 | tok/s: 587,582 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.4142 | val: 3.4629 | ppl: 31.9 | tok/s: 589,406 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.4042 | val: 3.4560 | ppl: 31.7 | tok/s: 588,390 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.3844 | val: 3.4509 | ppl: 31.5 | tok/s: 585,316 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.3866 | val: 3.4275 | ppl: 30.8 | tok/s: 586,348 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.3647 | val: 3.4240 | ppl: 30.7 | tok/s: 583,952 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.3618 | val: 3.4217 | ppl: 30.6 | tok/s: 586,291 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3484 | val: 3.4297 | ppl: 30.9 | tok/s: 584,648 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.3681 | val: 3.4069 | ppl: 30.2 | tok/s: 583,325 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.3535 | val: 3.4024 | ppl: 30.0 | tok/s: 584,961 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.3442 | val: 3.3836 | ppl: 29.5 | tok/s: 586,947 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.3422 | val: 3.3878 | ppl: 29.6 | tok/s: 589,897 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.3271 | val: 3.3854 | ppl: 29.5 | tok/s: 589,443 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.3051 | val: 3.4016 | ppl: 30.0 | tok/s: 584,886 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.3208 | val: 3.3781 | ppl: 29.3 | tok/s: 586,331 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.3288 | val: 3.3971 | ppl: 29.9 | tok/s: 591,285 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.3240 | val: 3.3829 | ppl: 29.5 | tok/s: 588,911 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.3018 | val: 3.3705 | ppl: 29.1 | tok/s: 579,403 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.3099 | val: 3.3834 | ppl: 29.5 | tok/s: 571,768 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.3079 | val: 3.3480 | ppl: 28.4 | tok/s: 588,841 | remaining steps: 41501s
Step 8749 (17.5%) | train: 3.2892 | val: 3.3615 | ppl: 28.8 | tok/s: 586,342 | remaining steps: 41251s
Step 8999 (18.0%) | train: 3.2989 | val: 3.3742 | ppl: 29.2 | tok/s: 583,632 | remaining steps: 41001s
Step 9249 (18.5%) | train: 3.2939 | val: 3.3628 | ppl: 28.9 | tok/s: 587,954 | remaining steps: 40751s
Step 9499 (19.0%) | train: 3.3040 | val: 3.3620 | ppl: 28.8 | tok/s: 585,432 | remaining steps: 40501s
Step 9749 (19.5%) | train: 3.2780 | val: 3.3395 | ppl: 28.2 | tok/s: 582,523 | remaining steps: 40251s
Step 9999 (20.0%) | train: 3.2723 | val: 3.3631 | ppl: 28.9 | tok/s: 587,006 | remaining steps: 40001s
Step 10249 (20.5%) | train: 3.2635 | val: 3.3516 | ppl: 28.5 | tok/s: 587,542 | remaining steps: 39751s
Step 10499 (21.0%) | train: 3.2803 | val: 3.3751 | ppl: 29.2 | tok/s: 586,606 | remaining steps: 39501s
Step 10749 (21.5%) | train: 3.2785 | val: 3.3425 | ppl: 28.3 | tok/s: 589,572 | remaining steps: 39251s
Step 10999 (22.0%) | train: 3.2935 | val: 3.3612 | ppl: 28.8 | tok/s: 587,502 | remaining steps: 39001s
Step 11249 (22.5%) | train: 3.2729 | val: 3.3581 | ppl: 28.7 | tok/s: 588,210 | remaining steps: 38751s
Step 11499 (23.0%) | train: 3.2694 | val: 3.3428 | ppl: 28.3 | tok/s: 580,690 | remaining steps: 38501s
Step 11749 (23.5%) | train: 3.2711 | val: 3.3637 | ppl: 28.9 | tok/s: 588,489 | remaining steps: 38251s
Step 11999 (24.0%) | train: 3.2631 | val: 3.3488 | ppl: 28.5 | tok/s: 590,270 | remaining steps: 38001s
Step 12249 (24.5%) | train: 3.2872 | val: 3.3495 | ppl: 28.5 | tok/s: 589,471 | remaining steps: 37751s
Step 12499 (25.0%) | train: 3.2582 | val: 3.3407 | ppl: 28.2 | tok/s: 590,705 | remaining steps: 37501s
Step 12749 (25.5%) | train: 3.2602 | val: 3.3570 | ppl: 28.7 | tok/s: 587,231 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.2470 | val: 3.3397 | ppl: 28.2 | tok/s: 588,751 | remaining steps: 37001s
