Step 0249 (0.5%) | train: 7.6981 | val: 7.6336 | ppl: 2066.5 | tok/s: 619,876 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.5619 | val: 6.5389 | ppl: 691.5 | tok/s: 615,404 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0541 | val: 6.0252 | ppl: 413.7 | tok/s: 616,802 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.6059 | val: 5.6053 | ppl: 271.9 | tok/s: 615,727 | remaining steps: 49001s
Step 1249 (2.5%) | train: 5.2215 | val: 5.2173 | ppl: 184.4 | tok/s: 615,379 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.9458 | val: 4.9517 | ppl: 141.4 | tok/s: 616,001 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.6984 | val: 4.7377 | ppl: 114.2 | tok/s: 617,530 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.5045 | val: 4.5342 | ppl: 93.1 | tok/s: 616,937 | remaining steps: 48001s
Step 2249 (4.5%) | train: 4.3282 | val: 4.3801 | ppl: 79.8 | tok/s: 617,337 | remaining steps: 47751s
Step 2499 (5.0%) | train: 4.1503 | val: 4.1921 | ppl: 66.2 | tok/s: 618,084 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.9614 | val: 4.0168 | ppl: 55.5 | tok/s: 615,364 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.8419 | val: 3.9030 | ppl: 49.5 | tok/s: 619,072 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.7678 | val: 3.8002 | ppl: 44.7 | tok/s: 618,171 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.6822 | val: 3.7541 | ppl: 42.7 | tok/s: 611,751 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.6075 | val: 3.6807 | ppl: 39.7 | tok/s: 617,833 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.5811 | val: 3.6366 | ppl: 38.0 | tok/s: 616,943 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.5410 | val: 3.6056 | ppl: 36.8 | tok/s: 614,232 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.4969 | val: 3.5804 | ppl: 35.9 | tok/s: 605,542 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.4820 | val: 3.5377 | ppl: 34.4 | tok/s: 611,271 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.4418 | val: 3.5217 | ppl: 33.8 | tok/s: 609,090 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.4210 | val: 3.5020 | ppl: 33.2 | tok/s: 611,077 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3928 | val: 3.4987 | ppl: 33.1 | tok/s: 609,796 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.3984 | val: 3.4651 | ppl: 32.0 | tok/s: 610,511 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.3717 | val: 3.4412 | ppl: 31.2 | tok/s: 611,403 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.3511 | val: 3.4254 | ppl: 30.7 | tok/s: 611,051 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.3411 | val: 3.4145 | ppl: 30.4 | tok/s: 611,294 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.3160 | val: 3.4048 | ppl: 30.1 | tok/s: 609,559 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.2809 | val: 3.4221 | ppl: 30.6 | tok/s: 609,356 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.2926 | val: 3.3798 | ppl: 29.4 | tok/s: 610,329 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.2926 | val: 3.3998 | ppl: 30.0 | tok/s: 610,447 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.2786 | val: 3.3829 | ppl: 29.5 | tok/s: 610,733 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.2530 | val: 3.3640 | ppl: 28.9 | tok/s: 609,869 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.2523 | val: 3.3737 | ppl: 29.2 | tok/s: 609,698 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.2447 | val: 3.3278 | ppl: 27.9 | tok/s: 611,758 | remaining steps: 41501s
Step 8749 (17.5%) | train: 3.2213 | val: 3.3373 | ppl: 28.1 | tok/s: 610,124 | remaining steps: 41251s
Step 8999 (18.0%) | train: 3.2236 | val: 3.3480 | ppl: 28.4 | tok/s: 610,560 | remaining steps: 41001s
Step 9249 (18.5%) | train: 3.2109 | val: 3.3303 | ppl: 27.9 | tok/s: 610,162 | remaining steps: 40751s
Step 9499 (19.0%) | train: 3.2173 | val: 3.3319 | ppl: 28.0 | tok/s: 609,548 | remaining steps: 40501s
Step 9749 (19.5%) | train: 3.1837 | val: 3.2989 | ppl: 27.1 | tok/s: 610,837 | remaining steps: 40251s
Step 9999 (20.0%) | train: 3.1701 | val: 3.3258 | ppl: 27.8 | tok/s: 609,469 | remaining steps: 40001s
Step 10249 (20.5%) | train: 3.1605 | val: 3.3084 | ppl: 27.3 | tok/s: 611,299 | remaining steps: 39751s
Step 10499 (21.0%) | train: 3.1731 | val: 3.3269 | ppl: 27.9 | tok/s: 611,353 | remaining steps: 39501s
Step 10749 (21.5%) | train: 3.1652 | val: 3.2895 | ppl: 26.8 | tok/s: 610,339 | remaining steps: 39251s
Step 10999 (22.0%) | train: 3.1784 | val: 3.3092 | ppl: 27.4 | tok/s: 610,381 | remaining steps: 39001s
Step 11249 (22.5%) | train: 3.1531 | val: 3.3012 | ppl: 27.1 | tok/s: 611,847 | remaining steps: 38751s
Step 11499 (23.0%) | train: 3.1474 | val: 3.2821 | ppl: 26.6 | tok/s: 611,611 | remaining steps: 38501s
Step 11749 (23.5%) | train: 3.1415 | val: 3.3050 | ppl: 27.2 | tok/s: 610,907 | remaining steps: 38251s
Step 11999 (24.0%) | train: 3.1319 | val: 3.2876 | ppl: 26.8 | tok/s: 607,448 | remaining steps: 38001s
Step 12249 (24.5%) | train: 3.1517 | val: 3.2866 | ppl: 26.8 | tok/s: 609,223 | remaining steps: 37751s
Step 12499 (25.0%) | train: 3.1160 | val: 3.2767 | ppl: 26.5 | tok/s: 611,650 | remaining steps: 37501s
Step 12749 (25.5%) | train: 3.1156 | val: 3.2932 | ppl: 26.9 | tok/s: 608,810 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.1031 | val: 3.2742 | ppl: 26.4 | tok/s: 612,010 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.1106 | val: 3.2413 | ppl: 25.6 | tok/s: 609,379 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.1158 | val: 3.2466 | ppl: 25.7 | tok/s: 609,873 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.1024 | val: 3.2879 | ppl: 26.8 | tok/s: 609,965 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.0892 | val: 3.2283 | ppl: 25.2 | tok/s: 610,247 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.0913 | val: 3.2676 | ppl: 26.2 | tok/s: 611,282 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.0918 | val: 3.2710 | ppl: 26.3 | tok/s: 610,165 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.0765 | val: 3.2320 | ppl: 25.3 | tok/s: 609,484 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.0746 | val: 3.2342 | ppl: 25.4 | tok/s: 610,329 | remaining steps: 35001s
