Step 0249 (0.5%) | train: 9.0075 | val: 9.0070 | ppl: 8160.3 | tok/s: 618,115 | remaining steps: 49751s
Step 0499 (1.0%) | train: 8.9931 | val: 8.9921 | ppl: 8039.5 | tok/s: 617,213 | remaining steps: 49501s
Step 0749 (1.5%) | train: 8.9667 | val: 8.9624 | ppl: 7803.9 | tok/s: 617,235 | remaining steps: 49251s
Step 0999 (2.0%) | train: 8.9103 | val: 8.9062 | ppl: 7377.8 | tok/s: 617,383 | remaining steps: 49001s
Step 1249 (2.5%) | train: 8.6832 | val: 8.6624 | ppl: 5781.6 | tok/s: 615,918 | remaining steps: 48751s
Step 1499 (3.0%) | train: 8.0525 | val: 8.0367 | ppl: 3092.5 | tok/s: 617,748 | remaining steps: 48501s
Step 1749 (3.5%) | train: 7.8361 | val: 7.8311 | ppl: 2517.8 | tok/s: 616,949 | remaining steps: 48251s
Step 1999 (4.0%) | train: 7.7020 | val: 7.7032 | ppl: 2215.4 | tok/s: 619,419 | remaining steps: 48001s
Step 2249 (4.5%) | train: 7.6074 | val: 7.6088 | ppl: 2015.8 | tok/s: 617,223 | remaining steps: 47751s
Step 2499 (5.0%) | train: 7.5204 | val: 7.5293 | ppl: 1861.8 | tok/s: 618,837 | remaining steps: 47501s
Step 2749 (5.5%) | train: 7.4590 | val: 7.4610 | ppl: 1738.8 | tok/s: 616,582 | remaining steps: 47251s
Step 2999 (6.0%) | train: 7.3962 | val: 7.3806 | ppl: 1604.5 | tok/s: 615,500 | remaining steps: 47001s
Step 3249 (6.5%) | train: 7.3150 | val: 7.3019 | ppl: 1483.1 | tok/s: 616,996 | remaining steps: 46751s
Step 3499 (7.0%) | train: 7.2532 | val: 7.2615 | ppl: 1424.4 | tok/s: 617,122 | remaining steps: 46501s
Step 3749 (7.5%) | train: 7.2326 | val: 7.2883 | ppl: 1463.0 | tok/s: 616,267 | remaining steps: 46251s
Step 3999 (8.0%) | train: 7.2381 | val: 7.2706 | ppl: 1437.4 | tok/s: 616,637 | remaining steps: 46001s
Step 4249 (8.5%) | train: 7.2500 | val: 7.2254 | ppl: 1373.9 | tok/s: 618,642 | remaining steps: 45751s
Step 4499 (9.0%) | train: 7.1916 | val: 7.1726 | ppl: 1303.3 | tok/s: 615,508 | remaining steps: 45501s
Step 4749 (9.5%) | train: 7.2220 | val: 7.1721 | ppl: 1302.5 | tok/s: 618,622 | remaining steps: 45251s
Step 4999 (10.0%) | train: 7.1622 | val: 7.1470 | ppl: 1270.3 | tok/s: 616,049 | remaining steps: 45001s
Step 5249 (10.5%) | train: 7.1971 | val: 7.2069 | ppl: 1348.7 | tok/s: 616,093 | remaining steps: 44751s
Step 5499 (11.0%) | train: 7.1867 | val: 7.1433 | ppl: 1265.6 | tok/s: 618,432 | remaining steps: 44501s
Step 5749 (11.5%) | train: 7.1953 | val: 7.2097 | ppl: 1352.5 | tok/s: 615,583 | remaining steps: 44251s
Step 5999 (12.0%) | train: 7.1778 | val: 7.1341 | ppl: 1254.1 | tok/s: 617,080 | remaining steps: 44001s
Step 6249 (12.5%) | train: 7.1603 | val: 7.1517 | ppl: 1276.3 | tok/s: 616,563 | remaining steps: 43751s
Step 6499 (13.0%) | train: 7.1967 | val: 7.3032 | ppl: 1485.0 | tok/s: 617,575 | remaining steps: 43501s
Step 6749 (13.5%) | train: 7.2657 | val: 7.1407 | ppl: 1262.3 | tok/s: 615,341 | remaining steps: 43251s
Step 6999 (14.0%) | train: 7.1281 | val: 7.0864 | ppl: 1195.6 | tok/s: 615,895 | remaining steps: 43001s
Step 7249 (14.5%) | train: 8.0341 | val: 7.2438 | ppl: 1399.4 | tok/s: 617,131 | remaining steps: 42751s
Step 7499 (15.0%) | train: 7.1214 | val: 7.1097 | ppl: 1223.8 | tok/s: 615,997 | remaining steps: 42501s
Step 7749 (15.5%) | train: 7.1794 | val: 7.0950 | ppl: 1206.0 | tok/s: 615,770 | remaining steps: 42251s
Step 7999 (16.0%) | train: 7.1346 | val: 7.1149 | ppl: 1230.2 | tok/s: 617,126 | remaining steps: 42001s
