optimizer      step     rankme         pr    alpha_req             lr
AdamW         41200   253.2111   102.3266     0.507771   1.250508e-04
AdamW         41600   253.4164   105.5770     0.514124   1.207308e-04
AdamW         42000   253.5318   105.6775     0.512159   1.164108e-04
AdamW         42400   252.3054    99.8805     0.508153   1.120908e-04
AdamW         42800   249.8730    97.2265     0.510820   1.077708e-04
AdamW         43200   257.7166   105.6781     0.505981   1.034508e-04
AdamW         43600   257.4468   105.9531     0.506808   9.913080e-05
AdamW         44000   251.8629   100.2091     0.509291   9.481080e-05
AdamW         44400   257.2044   106.6423     0.507528   9.049080e-05
AdamW         44800   252.1814   100.3548     0.509145   8.617080e-05
AdamW         45200   253.9830   105.9508     0.511344   8.185080e-05
AdamW         45600   252.4210   102.2173     0.510633   7.753080e-05
AdamW         46000   256.4997   107.0649     0.507722   7.321080e-05
AdamW         46400   255.1309   104.2446     0.506537   6.889080e-05
AdamW         46800   260.9115   112.0594     0.505498   6.457080e-05
AdamW         47200   250.0554    98.8019     0.508989   6.025080e-05
AdamW         47600   250.8835   101.2954     0.510841   5.593080e-05
AdamW         48000   255.5321   102.4663     0.505916   5.161080e-05
AdamW         48400   257.0417   104.1235     0.502348   4.729080e-05
AdamW         48800   259.9231   109.8650     0.504543   4.297080e-05
AdamW         49200   258.6174   105.8639     0.503175   3.865080e-05
AdamW         49600   258.4347   107.0469     0.505006   3.433080e-05
AdamW         50000   257.0804   105.7353     0.506022   3.001080e-05
Adam            400     3.1433     1.9712     0.811211   4.788000e-05
Adam            800    46.3632    15.7778     0.813379   9.588000e-05
Adam           1200    90.3593    34.3214     0.861255   1.438800e-04
Adam           1600   108.4386    46.0273     0.910845   1.918800e-04
Adam           2000   129.6468    56.1714     0.858068   2.398800e-04
Adam           2400   150.1979    67.3694     0.799566   2.878800e-04
Adam           2800   173.2602    80.1933     0.747684   3.000000e-04
Adam           3200   190.6291    92.4973     0.714122   3.000000e-04
Adam           3600   198.7453    91.3861     0.684593   3.000000e-04
Adam           4000   204.6357    93.9871     0.667790   3.000000e-04
Adam           4400   209.9028    92.4198     0.647207   3.000000e-04
Adam           4800   216.6193    97.6664     0.632089   3.000000e-04
Adam           5200   220.9767    98.4328     0.618868   3.000000e-04
Adam           5600   218.4804    91.0470     0.608503   3.000000e-04
Adam           6000   225.1411    97.4839     0.596894   3.000000e-04
Adam           6400   227.3722    99.6308     0.591323   3.000000e-04
Adam           6800   232.6293   100.1808     0.580630   3.000000e-04
Adam           7200   230.2128    96.7776     0.579904   3.000000e-04
Adam           7600   229.2831    96.4934     0.576883   3.000000e-04
Adam           8000   233.6914    99.2153     0.569089   3.000000e-04
Adam           8400   225.0339    89.5355     0.570761   3.000000e-04
Adam           8800   229.7334    92.6903     0.563143   3.000000e-04
Adam           9200   233.4753    95.0298     0.559195   3.000000e-04
Adam           9600   231.0035    93.1199     0.558753   3.000000e-04
Adam          10000   231.8724    92.3233     0.553702   3.000000e-04
Adam          10400   227.8628    91.0541     0.558500   3.000000e-04
Adam          10800   230.3515    90.0318     0.552467   3.000000e-04
Adam          11200   235.0425    94.6533     0.547320   3.000000e-04
Adam          11600   230.8442    88.1860     0.547034   3.000000e-04
Adam          12000   234.0701    93.7460     0.546232   3.000000e-04
Adam          12400   232.6644    93.2963     0.548734   3.000000e-04
Adam          12800   231.2237    90.1264     0.546001   3.000000e-04
Adam          13200   227.4809    85.6869     0.547428   3.000000e-04
Adam          13600   234.4888    96.2623     0.545388   3.000000e-04
Adam          14000   227.5555    85.5868     0.546919   3.000000e-04
Adam          14400   224.7431    84.3909     0.547040   3.000000e-04
Adam          14800   237.2895    95.1159     0.537034   3.000000e-04
Adam          15200   230.9363    89.0786     0.541628   3.000000e-04
Adam          15600   229.5642    87.2748     0.540078   3.000000e-04
Adam          16000   231.5441    91.9397     0.542971   3.000000e-04
Adam          16400   228.2610    85.2894     0.539641   3.000000e-04
Adam          16800   225.1597    83.2483     0.542905   3.000000e-04
Adam          17200   234.6600    91.0924     0.533361   3.000000e-04
Adam          17600   228.9937    87.3619     0.540627   3.000000e-04
Adam          18000   228.5321    85.0492     0.538592   3.000000e-04
Adam          18400   226.9325    83.2676     0.540068   3.000000e-04
Adam          18800   224.9370    83.0135     0.540448   3.000000e-04
Adam          19200   227.7872    83.9677     0.539004   3.000000e-04
Adam          19600   225.3422    82.6432     0.538887   3.000000e-04
Adam          20000   222.3507    78.7030     0.538622   3.000000e-04
Adam          20400   222.4551    82.3324     0.543454   3.000000e-04
Adam          20800   226.9875    83.0943     0.536855   3.000000e-04
Adam          21200   220.6130    77.7893     0.539461   3.000000e-04
Adam          21600   223.5976    78.4042     0.536179   3.000000e-04
Adam          22000   220.8540    75.9500     0.537962   3.000000e-04
Adam          22400   225.8290    79.5574     0.533810   3.000000e-04
Adam          22800   218.6609    74.4907     0.537834   3.000000e-04
Adam          23200   222.3939    79.4144     0.537518   3.000000e-04
Adam          23600   218.2816    74.3232     0.536948   3.000000e-04
Adam          24000   221.6669    77.9340     0.537175   3.000000e-04
Adam          24400   218.8915    74.8738     0.536922   3.000000e-04
Adam          24800   214.1005    72.0740     0.542753   3.000000e-04
Adam          25200   217.0637    70.8714     0.533794   2.978508e-04
Adam          25600   220.0325    75.9425     0.535469   2.935308e-04
Adam          26000   217.2186    74.2657     0.537194   2.892108e-04
Adam          26400   216.3928    72.8052     0.537730   2.848908e-04
Adam          26800   214.2334    69.5445     0.536261   2.805708e-04
Adam          27200   214.0928    69.4008     0.537185   2.762508e-04
Adam          27600   216.9641    73.9754     0.536192   2.719308e-04
Adam          28000   217.8074    74.5155     0.536531   2.676108e-04
Adam          28400   214.0062    70.9087     0.537747   2.632908e-04
Adam          28800   216.3212    71.5036     0.535407   2.589708e-04
Adam          29200   214.5647    70.7023     0.536342   2.546508e-04
Adam          29600   220.2549    73.6554     0.532565   2.503308e-04
Adam          30000   215.7747    72.5318     0.537189   2.460108e-04
