optimizer      step     rankme         pr    alpha_req             lr
--------------------------------------------------------------------
AdamW           400     3.1511     1.9834     0.787241   4.788000e-05
AdamW           800    46.7240    15.8818     0.791269   9.588000e-05
AdamW          1200    93.9124    36.8414     0.861379   1.438800e-04
AdamW          1600   108.3234    46.9572     0.904868   1.918800e-04
AdamW          2000   129.3850    57.9041     0.853764   2.398800e-04
AdamW          2400   154.8868    71.2806     0.793790   2.878800e-04
AdamW          2800   175.1728    82.8607     0.751719   3.000000e-04
AdamW          3200   192.3296    94.2030     0.713975   3.000000e-04
AdamW          3600   195.2523    89.3747     0.692732   3.000000e-04
AdamW          4000   203.9457    94.0869     0.669247   3.000000e-04
AdamW          4400   205.8391    90.6847     0.655343   3.000000e-04
AdamW          4800   219.4767   101.0671     0.634656   3.000000e-04
AdamW          5200   216.6692    95.7400     0.630379   3.000000e-04
AdamW          5600   221.7488    98.2661     0.614300   3.000000e-04
AdamW          6000   221.6574    97.1587     0.609736   3.000000e-04
AdamW          6400   226.1122    97.4865     0.596911   3.000000e-04
AdamW          6800   226.9858    98.7581     0.592423   3.000000e-04
AdamW          7200   232.9971   103.1756     0.584368   3.000000e-04
AdamW          7600   229.4843    99.4768     0.581315   3.000000e-04
AdamW          8000   230.6963    99.8469     0.579222   3.000000e-04
AdamW          8400   233.7885   100.0281     0.569784   3.000000e-04
AdamW          8800   231.8634    97.6501     0.568268   3.000000e-04
AdamW          9200   235.9221   102.1492     0.564083   3.000000e-04
AdamW          9600   234.6422    99.4702     0.563928   3.000000e-04
AdamW         10000   236.5669   101.7382     0.561229   3.000000e-04
AdamW         10400   231.7112    98.0602     0.563342   3.000000e-04
AdamW         10800   235.6943    97.7367     0.555811   3.000000e-04
AdamW         11200   243.1914   107.4531     0.548967   3.000000e-04
AdamW         11600   240.9759   102.0320     0.547647   3.000000e-04
AdamW         12000   244.8800   107.3382     0.545627   3.000000e-04
AdamW         12400   237.8367    98.8596     0.545553   3.000000e-04
AdamW         12800   238.9266   100.1206     0.545824   3.000000e-04
AdamW         13200   242.0276   104.4844     0.544991   3.000000e-04
AdamW         13600   238.7516    99.8932     0.542820   3.000000e-04
AdamW         14000   240.4166   102.9584     0.546323   3.000000e-04
AdamW         14400   242.5583   105.3022     0.542368   3.000000e-04
AdamW         14800   237.3099    97.0578     0.542047   3.000000e-04
AdamW         15200   243.8357   106.5716     0.542080   3.000000e-04
AdamW         15600   242.5991   101.2589     0.537743   3.000000e-04
AdamW         16000   241.4129   101.8649     0.537754   3.000000e-04
AdamW         16400   243.1311   104.9650     0.541554   3.000000e-04
AdamW         16800   243.7160    99.8154     0.531743   3.000000e-04
AdamW         17200   245.5976   103.0670     0.533852   3.000000e-04
AdamW         17600   237.3065    92.2318     0.535353   3.000000e-04
AdamW         18000   244.1145   103.6856     0.535944   3.000000e-04
AdamW         18400   249.8089   107.6707     0.528862   3.000000e-04
AdamW         18800   241.3838    99.1326     0.532076   3.000000e-04
AdamW         19200   245.4886   103.1822     0.530942   3.000000e-04
AdamW         19600   246.7988   105.7804     0.531067   3.000000e-04
AdamW         20000   240.6165    97.0806     0.534186   3.000000e-04
AdamW         20400   249.7460   106.6388     0.527873   3.000000e-04
AdamW         20800   247.9153   103.7173     0.528810   3.000000e-04
AdamW         21200   241.2569    97.4555     0.530986   3.000000e-04
AdamW         21600   243.1128   100.6938     0.530168   3.000000e-04
AdamW         22000   243.6426    98.5904     0.528110   3.000000e-04
AdamW         22400   243.7551    98.6210     0.526244   3.000000e-04
AdamW         22800   240.1843    97.3431     0.534188   3.000000e-04
AdamW         23200   240.2495    95.7103     0.529969   3.000000e-04
AdamW         23600   244.1149    99.1563     0.525645   3.000000e-04
AdamW         24000   244.3583   100.5989     0.527425   3.000000e-04
AdamW         24400   246.6134   100.0940     0.521799   3.000000e-04
AdamW         24800   245.3532    99.8852     0.524641   3.000000e-04
AdamW         25200   241.9875    94.8645     0.525955   3.000000e-04
AdamW         25600   245.0910    97.6406     0.522551   3.000000e-04
AdamW         26000   246.7749    99.3407     0.521262   3.000000e-04
AdamW         26400   244.7481   101.0926     0.527695   3.000000e-04
AdamW         26800   253.2558   109.9275     0.520889   3.000000e-04
AdamW         27200   251.5162   104.7293     0.518148   3.000000e-04
AdamW         27600   246.4949    99.9351     0.522191   3.000000e-04
AdamW         28000   246.8197    99.9364     0.521688   3.000000e-04
AdamW         28400   242.5237    96.0846     0.523485   3.000000e-04
AdamW         28800   242.5918    96.0846     0.524528   3.000000e-04
AdamW         29200   248.0790   102.5965     0.520691   3.000000e-04
AdamW         29600   248.7414   103.5333     0.520021   3.000000e-04
AdamW         30000   250.4840   105.8305     0.521544   3.000000e-04
AdamW         30400   252.4303   107.7023     0.518009   3.000000e-04
AdamW         30800   244.8584   100.4599     0.523923   3.000000e-04
AdamW         31200   243.0935    97.7378     0.525265   3.000000e-04
AdamW         31600   249.4579   105.5409     0.519394   3.000000e-04
AdamW         32000   247.3538   101.7525     0.521993   3.000000e-04
AdamW         32400   247.2980    99.6049     0.519518   3.000000e-04
AdamW         32800   248.6635   103.8655     0.521769   3.000000e-04
AdamW         33200   246.5029    98.4863     0.521344   3.000000e-04
AdamW         33600   249.1921   102.8240     0.519340   3.000000e-04
AdamW         34000   240.1853    92.7898     0.522604   3.000000e-04
AdamW         34400   245.0009   102.4065     0.525028   3.000000e-04
AdamW         34800   248.6538   103.6018     0.521562   3.000000e-04
AdamW         35200   242.0202    96.0791     0.522106   2.964180e-04
AdamW         35600   251.1116   104.2054     0.517347   2.892180e-04
AdamW         36000   247.8817   101.8820     0.520207   2.820180e-04
AdamW         36400   245.4268    97.2534     0.519421   2.748180e-04
AdamW         36800   251.1094   104.9241     0.515348   2.676180e-04
AdamW         37200   247.1538   100.0625     0.519954   2.604180e-04
AdamW         37600   250.9251   103.7351     0.515317   2.532180e-04
AdamW         38000   252.9320   104.7344     0.513379   2.460180e-04
AdamW         38400   251.4646   102.4821     0.512953   2.388180e-04
AdamW         38800   251.4428   105.7127     0.516428   2.316180e-04
AdamW         39200   247.8577    99.3344     0.514011   2.244180e-04
AdamW         39600   246.2703    97.7004     0.517949   2.172180e-04
AdamW         40000   250.4645   104.2330     0.515519   2.100180e-04
AdamW         40400   251.9313   101.1903     0.513230   2.028180e-04
AdamW         40800   250.9643   103.8911     0.513668   1.956180e-04
AdamW         41200   248.7222    99.1380     0.512068   1.884180e-04
AdamW         41600   254.9119   108.1058     0.513468   1.812180e-04
AdamW         42000   253.1757   106.4549     0.514823   1.740180e-04
AdamW         42400   252.0753   101.4539     0.510413   1.668180e-04
AdamW         42800   251.3743   100.2891     0.510298   1.596180e-04
AdamW         43200   257.7407   105.8670     0.505863   1.524180e-04
AdamW         43600   256.7031   106.9811     0.509602   1.452180e-04
AdamW         44000   251.8625   101.0430     0.509085   1.380180e-04
AdamW         44400   257.1415   108.0360     0.508110   1.308180e-04
AdamW         44800   251.5773    99.9955     0.509249   1.236180e-04
AdamW         45200   253.5648   106.8410     0.512241   1.164180e-04
AdamW         45600   252.4763   104.2008     0.511604   1.092180e-04
AdamW         46000   256.7716   107.7826     0.508021   1.020180e-04
AdamW         46400   254.7025   103.8959     0.506859   9.481800e-05
AdamW         46800   262.4818   115.2732     0.505189   8.761800e-05
AdamW         47200   251.3164   101.2192     0.509854   8.041800e-05
AdamW         47600   251.9300   103.6352     0.510941   7.321800e-05
AdamW         48000   257.5486   106.0577     0.506302   6.601800e-05
AdamW         48400   256.9179   103.8117     0.502267   5.881800e-05
AdamW         48800   259.5281   109.4228     0.505108   5.161800e-05
AdamW         49200   258.4538   107.1945     0.504147   4.441800e-05
AdamW         49600   258.0495   105.3072     0.504640   3.721800e-05
AdamW         50000   259.1887   108.2140     0.504704   3.001800e-05
Adam            400     3.1364     1.9657     0.810369   4.788000e-05
Adam            800    47.4217    16.0050     0.810705   9.588000e-05
Adam           1200    87.6684    33.8744     0.866451   1.438800e-04
Adam           1600   110.1752    47.4727     0.907260   1.918800e-04
Adam           2000   131.5381    57.6212     0.855389   2.398800e-04
Adam           2400   148.7461    66.1927     0.802850   2.878800e-04
Adam           2800   169.8767    77.2914     0.751012   3.000000e-04
Adam           3200   191.2763    92.0982     0.711742   3.000000e-04
Adam           3600   199.4325    92.2352     0.684443   3.000000e-04
Adam           4000   203.1130    92.5743     0.669869   3.000000e-04
Adam           4400   208.5684    90.9230     0.649045   3.000000e-04
Adam           4800   214.9877    95.3071     0.631972   3.000000e-04
Adam           5200   220.0088    98.1396     0.620673   3.000000e-04
Adam           5600   218.4980    91.8191     0.611480   3.000000e-04
Adam           6000   223.8932    95.8435     0.598333   3.000000e-04
Adam           6400   226.0938    98.9504     0.592732   3.000000e-04
Adam           6800   231.1700    97.2983     0.580332   3.000000e-04
Adam           7200   232.2415    98.0882     0.578238   3.000000e-04
Adam           7600   228.2389    95.4363     0.577884   3.000000e-04
Adam           8000   234.1486   100.0544     0.567888   3.000000e-04
Adam           8400   223.0058    87.8150     0.572626   3.000000e-04
Adam           8800   229.1169    91.9377     0.564312   3.000000e-04
Adam           9200   233.7255    96.7644     0.560576   3.000000e-04
Adam           9600   232.2364    95.2044     0.558586   3.000000e-04
Adam          10000   231.2777    92.5190     0.555036   3.000000e-04
Adam          10400   228.7975    92.1496     0.558644   3.000000e-04
Adam          10800   229.9385    89.9427     0.552740   3.000000e-04
Adam          11200   235.1098    95.1569     0.547457   3.000000e-04
Adam          11600   231.0573    87.6496     0.545931   3.000000e-04
Adam          12000   233.2245    93.6692     0.548094   3.000000e-04
Adam          12400   232.5028    92.4643     0.548242   3.000000e-04
Adam          12800   231.8262    91.3853     0.547659   3.000000e-04
Adam          13200   227.8164    86.2490     0.547949   3.000000e-04
Adam          13600   235.6399    97.3317     0.546012   3.000000e-04
Adam          14000   225.5117    83.2344     0.546617   3.000000e-04
Adam          14400   227.1981    86.7011     0.545759   3.000000e-04
Adam          14800   236.2751    94.9018     0.538571   3.000000e-04
Adam          15200   230.8183    88.4725     0.540954   3.000000e-04
Adam          15600   229.3006    87.5420     0.542865   3.000000e-04
Adam          16000   229.3550    89.0709     0.542742   3.000000e-04
Adam          16400   227.8534    84.3597     0.539571   3.000000e-04
Adam          16800   226.1401    83.9712     0.541801   3.000000e-04
Adam          17200   232.1936    89.4446     0.535709   3.000000e-04
Adam          17600   226.9160    84.2020     0.540287   3.000000e-04
Adam          18000   227.1783    83.6865     0.539095   3.000000e-04
Adam          18400   227.3461    83.2627     0.538148   3.000000e-04
Adam          18800   222.3659    80.4405     0.541701   3.000000e-04
Adam          19200   226.5406    81.8294     0.539154   3.000000e-04
Adam          19600   226.0255    82.8627     0.537925   3.000000e-04
Adam          20000   219.7026    75.8098     0.539661   3.000000e-04
Adam          20400   222.6596    82.0114     0.543581   3.000000e-04
Adam          20800   224.1226    80.1761     0.538075   3.000000e-04
Adam          21200   223.4222    80.3450     0.538628   3.000000e-04
Adam          21600   223.7494    77.8480     0.535518   3.000000e-04
Adam          22000   222.2613    76.7561     0.537062   3.000000e-04
Adam          22400   225.3039    79.9042     0.536780   3.000000e-04
Adam          22800   218.2446    72.5656     0.536912   3.000000e-04
Adam          23200   222.9874    79.2704     0.537863   3.000000e-04
Adam          23600   219.3170    75.4269     0.536572   3.000000e-04
Adam          24000   219.1636    75.9728     0.538636   3.000000e-04
Adam          24400   218.8175    75.5349     0.537515   3.000000e-04
Adam          24800   214.0755    71.8454     0.543483   3.000000e-04
Adam          25200   216.8828    70.3502     0.534112   3.000000e-04
Adam          25600   218.1292    74.6716     0.538327   3.000000e-04
Adam          26000   213.5375    70.1101     0.538708   3.000000e-04
Adam          26400   215.7310    72.4353     0.538356   3.000000e-04
Adam          26800   217.0430    72.0595     0.535387   3.000000e-04
Adam          27200   214.0938    69.6139     0.538005   3.000000e-04
Adam          27600   215.7749    73.3587     0.538402   3.000000e-04
Adam          28000   216.3085    72.9354     0.539288   3.000000e-04
Adam          28400   212.3426    70.0651     0.541472   3.000000e-04
Adam          28800   213.8396    69.6591     0.536834   3.000000e-04
Adam          29200   213.1997    71.1926     0.540171   3.000000e-04
Adam          29600   219.7876    73.2145     0.532507   3.000000e-04
Adam          30000   212.1966    69.2514     0.539928   3.000000e-04
Adam          30400   214.7871    70.9540     0.538523   3.000000e-04
Adam          30800   210.1836    67.3464     0.538885   3.000000e-04
Adam          31200   213.7744    70.5765     0.538831   3.000000e-04
Adam          31600   207.9697    65.9780     0.540356   3.000000e-04
Adam          32000   210.8069    64.8183     0.533298   3.000000e-04
Adam          32400   211.7978    66.6792     0.537683   3.000000e-04
Adam          32800   212.1203    67.7054     0.537177   3.000000e-04
Adam          33200   208.0836    65.9345     0.541046   3.000000e-04
Adam          33600   207.7927    63.2456     0.537580   3.000000e-04
Adam          34000   208.8491    65.2961     0.539239   3.000000e-04
Adam          34400   205.6802    62.3152     0.539582   3.000000e-04
Adam          34800   212.4809    66.7962     0.535278   3.000000e-04
Adam          35200   204.3785    60.9746     0.537990   2.964180e-04
Adam          35600   207.8719    65.8649     0.538915   2.892180e-04
Adam          36000   207.8625    63.9545     0.537644   2.820180e-04
Adam          36400   206.3473    62.9762     0.537675   2.748180e-04
Adam          36800   205.8729    62.4934     0.538219   2.676180e-04
Adam          37200   209.6075    65.2012     0.536527   2.604180e-04
Adam          37600   203.9714    62.4689     0.540143   2.532180e-04
Adam          38000   208.7103    64.8014     0.534123   2.460180e-04
Adam          38400   206.7067    62.8004     0.535991   2.388180e-04
Adam          38800   207.5807    63.8516     0.537947   2.316180e-04
Adam          39200   201.4615    60.9290     0.541669   2.244180e-04
Adam          39600   204.8758    64.1641     0.540616   2.172180e-04
Adam          40000   199.6206    58.3431     0.539881   2.100180e-04
Adam          40400   203.6713    61.2504     0.540052   2.028180e-04
Adam          40800   202.0805    60.4739     0.541702   1.956180e-04
Adam          41200   205.0321    61.3429     0.535205   1.884180e-04
Adam          41600   202.9314    60.3680     0.538511   1.812180e-04
Adam          42000   201.4670    59.1939     0.537852   1.740180e-04
Adam          42400   209.0205    65.0599     0.535131   1.668180e-04
Adam          42800   205.5597    61.5623     0.536449   1.596180e-04
Adam          43200   208.0764    65.1737     0.536709   1.524180e-04
Adam          43600   201.1809    60.6379     0.541099   1.452180e-04
Adam          44000   199.2139    58.8242     0.539739   1.380180e-04
Adam          44400   205.3100    62.9306     0.536823   1.308180e-04
Adam          44800   202.2206    59.1438     0.536609   1.236180e-04
Adam          45200   202.4796    61.3250     0.538454   1.164180e-04
Adam          45600   205.5050    62.0166     0.534282   1.092180e-04
Adam          46000   204.5817    60.4963     0.535631   1.020180e-04
Adam          46400   203.3388    60.5363     0.537684   9.481800e-05
Adam          46800   204.1504    61.6542     0.537986   8.761800e-05
Adam          47200   200.6588    60.5904     0.539026   8.041800e-05
Adam          47600   209.5643    65.5228     0.534699   7.321800e-05
Adam          48000   200.8937    59.3098     0.539844   6.601800e-05
Adam          48400   203.9873    61.4483     0.537671   5.881800e-05
Adam          48800   209.2207    65.9791     0.534998   5.161800e-05
Adam          49200   207.2791    65.4559     0.537682   4.441800e-05
Adam          49600   208.0564    65.4696     0.534497   3.721800e-05
Adam          50000   208.7746    62.8557     0.533008   3.001800e-05
