Step 0249 (0.5%) | train: 7.6982 | val: 7.6337 | ppl: 2066.8 | tok/s: 611,594 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.5617 | val: 6.5380 | ppl: 690.9 | tok/s: 609,479 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0499 | val: 6.0216 | ppl: 412.3 | tok/s: 609,916 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.6018 | val: 5.5995 | ppl: 270.3 | tok/s: 607,925 | remaining steps: 49001s
Step 1249 (2.5%) | train: 5.2205 | val: 5.2159 | ppl: 184.2 | tok/s: 609,630 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.9436 | val: 4.9500 | ppl: 141.2 | tok/s: 607,407 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.6889 | val: 4.7280 | ppl: 113.1 | tok/s: 605,096 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.5037 | val: 4.5283 | ppl: 92.6 | tok/s: 604,825 | remaining steps: 48001s
Step 2249 (4.5%) | train: 4.3262 | val: 4.3702 | ppl: 79.1 | tok/s: 615,376 | remaining steps: 47751s
Step 2499 (5.0%) | train: 4.1368 | val: 4.1797 | ppl: 65.3 | tok/s: 612,074 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.9542 | val: 4.0032 | ppl: 54.8 | tok/s: 616,782 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.8335 | val: 3.8941 | ppl: 49.1 | tok/s: 616,235 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.7626 | val: 3.8008 | ppl: 44.7 | tok/s: 615,396 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.6762 | val: 3.7489 | ppl: 42.5 | tok/s: 616,045 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.6046 | val: 3.6765 | ppl: 39.5 | tok/s: 615,117 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.5776 | val: 3.6325 | ppl: 37.8 | tok/s: 616,611 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.5372 | val: 3.6022 | ppl: 36.7 | tok/s: 614,148 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.4938 | val: 3.5774 | ppl: 35.8 | tok/s: 617,066 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.4794 | val: 3.5309 | ppl: 34.2 | tok/s: 616,809 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.4402 | val: 3.5181 | ppl: 33.7 | tok/s: 616,025 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.4188 | val: 3.5003 | ppl: 33.1 | tok/s: 616,238 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3906 | val: 3.4963 | ppl: 33.0 | tok/s: 608,442 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.3974 | val: 3.4633 | ppl: 31.9 | tok/s: 614,638 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.3711 | val: 3.4387 | ppl: 31.1 | tok/s: 613,608 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.3501 | val: 3.4210 | ppl: 30.6 | tok/s: 612,018 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.3398 | val: 3.4127 | ppl: 30.3 | tok/s: 608,284 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.3134 | val: 3.3999 | ppl: 30.0 | tok/s: 614,251 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.2793 | val: 3.4178 | ppl: 30.5 | tok/s: 593,724 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.2900 | val: 3.3778 | ppl: 29.3 | tok/s: 614,152 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.2910 | val: 3.3937 | ppl: 29.8 | tok/s: 613,556 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.2782 | val: 3.3797 | ppl: 29.4 | tok/s: 610,950 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.2522 | val: 3.3619 | ppl: 28.8 | tok/s: 613,121 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.2508 | val: 3.3696 | ppl: 29.1 | tok/s: 613,059 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.2437 | val: 3.3214 | ppl: 27.7 | tok/s: 614,822 | remaining steps: 41501s
Step 8749 (17.5%) | train: 3.2191 | val: 3.3320 | ppl: 28.0 | tok/s: 614,357 | remaining steps: 41251s
Step 8999 (18.0%) | train: 3.2237 | val: 3.3441 | ppl: 28.3 | tok/s: 610,761 | remaining steps: 41001s
Step 9249 (18.5%) | train: 3.2098 | val: 3.3250 | ppl: 27.8 | tok/s: 612,177 | remaining steps: 40751s
Step 9499 (19.0%) | train: 3.2143 | val: 3.3267 | ppl: 27.8 | tok/s: 610,929 | remaining steps: 40501s
Step 9749 (19.5%) | train: 3.1816 | val: 3.2956 | ppl: 27.0 | tok/s: 608,017 | remaining steps: 40251s
Step 9999 (20.0%) | train: 3.1686 | val: 3.3180 | ppl: 27.6 | tok/s: 602,736 | remaining steps: 40001s
Step 10249 (20.5%) | train: 3.1584 | val: 3.3037 | ppl: 27.2 | tok/s: 614,266 | remaining steps: 39751s
Step 10499 (21.0%) | train: 3.1718 | val: 3.3198 | ppl: 27.7 | tok/s: 612,453 | remaining steps: 39501s
Step 10749 (21.5%) | train: 3.1624 | val: 3.2825 | ppl: 26.6 | tok/s: 613,566 | remaining steps: 39251s
Step 10999 (22.0%) | train: 3.1751 | val: 3.3030 | ppl: 27.2 | tok/s: 610,159 | remaining steps: 39001s
Step 11249 (22.5%) | train: 3.1498 | val: 3.2935 | ppl: 26.9 | tok/s: 612,516 | remaining steps: 38751s
Step 11499 (23.0%) | train: 3.1440 | val: 3.2774 | ppl: 26.5 | tok/s: 608,324 | remaining steps: 38501s
Step 11749 (23.5%) | train: 3.1386 | val: 3.2978 | ppl: 27.1 | tok/s: 610,312 | remaining steps: 38251s
Step 11999 (24.0%) | train: 3.1294 | val: 3.2773 | ppl: 26.5 | tok/s: 613,407 | remaining steps: 38001s
Step 12249 (24.5%) | train: 3.1491 | val: 3.2805 | ppl: 26.6 | tok/s: 613,378 | remaining steps: 37751s
Step 12499 (25.0%) | train: 3.1144 | val: 3.2690 | ppl: 26.3 | tok/s: 615,330 | remaining steps: 37501s
Step 12749 (25.5%) | train: 3.1144 | val: 3.2836 | ppl: 26.7 | tok/s: 612,828 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.1006 | val: 3.2675 | ppl: 26.2 | tok/s: 612,822 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.1063 | val: 3.2333 | ppl: 25.4 | tok/s: 613,538 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.1136 | val: 3.2393 | ppl: 25.5 | tok/s: 612,320 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.1005 | val: 3.2800 | ppl: 26.6 | tok/s: 611,343 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.0862 | val: 3.2197 | ppl: 25.0 | tok/s: 614,189 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.0878 | val: 3.2590 | ppl: 26.0 | tok/s: 613,711 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.0893 | val: 3.2648 | ppl: 26.2 | tok/s: 613,490 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.0739 | val: 3.2244 | ppl: 25.1 | tok/s: 612,420 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.0719 | val: 3.2300 | ppl: 25.3 | tok/s: 611,613 | remaining steps: 35001s
Step 15249 (30.5%) | train: 3.0683 | val: 3.2105 | ppl: 24.8 | tok/s: 614,067 | remaining steps: 34751s
Step 15499 (31.0%) | train: 3.0845 | val: 3.2208 | ppl: 25.0 | tok/s: 613,108 | remaining steps: 34501s
Step 15749 (31.5%) | train: 3.0515 | val: 3.2092 | ppl: 24.8 | tok/s: 612,885 | remaining steps: 34251s
Step 15999 (32.0%) | train: 3.0699 | val: 3.2410 | ppl: 25.6 | tok/s: 612,664 | remaining steps: 34001s
Step 16249 (32.5%) | train: 3.0678 | val: 3.2334 | ppl: 25.4 | tok/s: 612,733 | remaining steps: 33751s
Step 16499 (33.0%) | train: 3.0686 | val: 3.2192 | ppl: 25.0 | tok/s: 612,559 | remaining steps: 33501s
Step 16749 (33.5%) | train: 3.0447 | val: 3.2110 | ppl: 24.8 | tok/s: 612,803 | remaining steps: 33251s
Step 16999 (34.0%) | train: 3.0438 | val: 3.1872 | ppl: 24.2 | tok/s: 613,561 | remaining steps: 33001s
Step 17249 (34.5%) | train: 3.0393 | val: 3.2145 | ppl: 24.9 | tok/s: 611,872 | remaining steps: 32751s
Step 17499 (35.0%) | train: 3.0413 | val: 3.2199 | ppl: 25.0 | tok/s: 610,818 | remaining steps: 32501s
Step 17749 (35.5%) | train: 3.0373 | val: 3.1985 | ppl: 24.5 | tok/s: 613,008 | remaining steps: 32251s
Step 17999 (36.0%) | train: 3.0375 | val: 3.2209 | ppl: 25.0 | tok/s: 612,293 | remaining steps: 32001s
Step 18249 (36.5%) | train: 3.0373 | val: 3.1998 | ppl: 24.5 | tok/s: 613,731 | remaining steps: 31751s
Step 18499 (37.0%) | train: 3.0374 | val: 3.2126 | ppl: 24.8 | tok/s: 612,617 | remaining steps: 31501s
Step 18749 (37.5%) | train: 3.0328 | val: 3.2043 | ppl: 24.6 | tok/s: 611,813 | remaining steps: 31251s
Step 18999 (38.0%) | train: 3.0263 | val: 3.1902 | ppl: 24.3 | tok/s: 613,907 | remaining steps: 31001s
Step 19249 (38.5%) | train: 3.0334 | val: 3.1917 | ppl: 24.3 | tok/s: 613,130 | remaining steps: 30751s
Step 19499 (39.0%) | train: 3.0167 | val: 3.1876 | ppl: 24.2 | tok/s: 613,637 | remaining steps: 30501s
Step 19749 (39.5%) | train: 3.0211 | val: 3.2069 | ppl: 24.7 | tok/s: 613,581 | remaining steps: 30251s
Step 19999 (40.0%) | train: 3.0196 | val: 3.1895 | ppl: 24.3 | tok/s: 614,019 | remaining steps: 30001s
Step 20249 (40.5%) | train: 3.0150 | val: 3.1921 | ppl: 24.3 | tok/s: 615,273 | remaining steps: 29751s
Step 20499 (41.0%) | train: 3.0125 | val: 3.2011 | ppl: 24.6 | tok/s: 614,050 | remaining steps: 29501s
Step 20749 (41.5%) | train: 3.0166 | val: 3.1852 | ppl: 24.2 | tok/s: 613,048 | remaining steps: 29251s
Step 20999 (42.0%) | train: 3.0022 | val: 3.2145 | ppl: 24.9 | tok/s: 612,746 | remaining steps: 29001s
Step 21249 (42.5%) | train: 3.0008 | val: 3.1787 | ppl: 24.0 | tok/s: 612,290 | remaining steps: 28751s
Step 21499 (43.0%) | train: 2.9903 | val: 3.1864 | ppl: 24.2 | tok/s: 614,247 | remaining steps: 28501s
Step 21749 (43.5%) | train: 2.9908 | val: 3.1991 | ppl: 24.5 | tok/s: 613,901 | remaining steps: 28251s
Step 21999 (44.0%) | train: 3.0072 | val: 3.1978 | ppl: 24.5 | tok/s: 613,838 | remaining steps: 28001s
Step 22249 (44.5%) | train: 3.0008 | val: 3.2018 | ppl: 24.6 | tok/s: 613,069 | remaining steps: 27751s
Step 22499 (45.0%) | train: 3.0014 | val: 3.1856 | ppl: 24.2 | tok/s: 608,581 | remaining steps: 27501s
Step 22749 (45.5%) | train: 2.9833 | val: 3.1825 | ppl: 24.1 | tok/s: 613,158 | remaining steps: 27251s
Step 22999 (46.0%) | train: 2.9929 | val: 3.1765 | ppl: 24.0 | tok/s: 614,058 | remaining steps: 27001s
Step 23249 (46.5%) | train: 2.9702 | val: 3.2053 | ppl: 24.7 | tok/s: 614,225 | remaining steps: 26751s
Step 23499 (47.0%) | train: 2.9900 | val: 3.1615 | ppl: 23.6 | tok/s: 612,963 | remaining steps: 26501s
Step 23749 (47.5%) | train: 2.9648 | val: 3.1772 | ppl: 24.0 | tok/s: 610,199 | remaining steps: 26251s
Step 23999 (48.0%) | train: 2.9866 | val: 3.1702 | ppl: 23.8 | tok/s: 611,011 | remaining steps: 26001s
Step 24249 (48.5%) | train: 2.9795 | val: 3.1837 | ppl: 24.1 | tok/s: 613,572 | remaining steps: 25751s
Step 24499 (49.0%) | train: 2.9807 | val: 3.1839 | ppl: 24.1 | tok/s: 612,480 | remaining steps: 25501s
Step 24749 (49.5%) | train: 2.9893 | val: 3.1535 | ppl: 23.4 | tok/s: 612,690 | remaining steps: 25251s
Step 24999 (50.0%) | train: 2.9738 | val: 3.1799 | ppl: 24.0 | tok/s: 610,879 | remaining steps: 25001s
Step 25249 (50.5%) | train: 2.9642 | val: 3.1697 | ppl: 23.8 | tok/s: 613,340 | remaining steps: 24751s
Step 25499 (51.0%) | train: 2.9698 | val: 3.1902 | ppl: 24.3 | tok/s: 611,401 | remaining steps: 24501s
Step 25749 (51.5%) | train: 2.9685 | val: 3.1869 | ppl: 24.2 | tok/s: 611,513 | remaining steps: 24251s
Step 25999 (52.0%) | train: 2.9562 | val: 3.1737 | ppl: 23.9 | tok/s: 614,240 | remaining steps: 24001s
Step 26249 (52.5%) | train: 2.9700 | val: 3.1536 | ppl: 23.4 | tok/s: 614,106 | remaining steps: 23751s
Step 26499 (53.0%) | train: 2.9710 | val: 3.1561 | ppl: 23.5 | tok/s: 610,845 | remaining steps: 23501s
Step 26749 (53.5%) | train: 2.9590 | val: 3.1659 | ppl: 23.7 | tok/s: 608,256 | remaining steps: 23251s
Step 26999 (54.0%) | train: 2.9642 | val: 3.1458 | ppl: 23.2 | tok/s: 611,012 | remaining steps: 23001s
Step 27249 (54.5%) | train: 2.9464 | val: 3.1715 | ppl: 23.8 | tok/s: 611,604 | remaining steps: 22751s
Step 27499 (55.0%) | train: 2.9619 | val: 3.1491 | ppl: 23.3 | tok/s: 609,577 | remaining steps: 22501s
Step 27749 (55.5%) | train: 2.9413 | val: 3.1382 | ppl: 23.1 | tok/s: 609,883 | remaining steps: 22251s
Step 27999 (56.0%) | train: 2.9572 | val: 3.1773 | ppl: 24.0 | tok/s: 611,182 | remaining steps: 22001s
Step 28249 (56.5%) | train: 2.9541 | val: 3.1677 | ppl: 23.8 | tok/s: 611,882 | remaining steps: 21751s
Step 28499 (57.0%) | train: 2.9311 | val: 3.1453 | ppl: 23.2 | tok/s: 611,324 | remaining steps: 21501s
Step 28749 (57.5%) | train: 2.9481 | val: 3.1771 | ppl: 24.0 | tok/s: 609,755 | remaining steps: 21251s
Step 28999 (58.0%) | train: 2.9502 | val: 3.1595 | ppl: 23.6 | tok/s: 610,600 | remaining steps: 21001s
