Step 12749 (25.5%) | train: 3.1191 | val: 3.2975 | ppl: 27.0 | tok/s: 610,583 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.1067 | val: 3.2772 | ppl: 26.5 | tok/s: 611,221 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.1134 | val: 3.2445 | ppl: 25.6 | tok/s: 610,329 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.1197 | val: 3.2473 | ppl: 25.7 | tok/s: 612,297 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.1059 | val: 3.2915 | ppl: 26.9 | tok/s: 610,148 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.0923 | val: 3.2308 | ppl: 25.3 | tok/s: 610,383 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.0935 | val: 3.2690 | ppl: 26.3 | tok/s: 613,166 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.0949 | val: 3.2756 | ppl: 26.5 | tok/s: 609,226 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.0793 | val: 3.2343 | ppl: 25.4 | tok/s: 611,541 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.0765 | val: 3.2371 | ppl: 25.5 | tok/s: 611,485 | remaining steps: 35001s
Step 15249 (30.5%) | train: 3.0743 | val: 3.2232 | ppl: 25.1 | tok/s: 610,535 | remaining steps: 34751s
Step 15499 (31.0%) | train: 3.0893 | val: 3.2324 | ppl: 25.3 | tok/s: 612,368 | remaining steps: 34501s
Step 15749 (31.5%) | train: 3.0564 | val: 3.2217 | ppl: 25.1 | tok/s: 611,813 | remaining steps: 34251s
Step 15999 (32.0%) | train: 3.0750 | val: 3.2498 | ppl: 25.8 | tok/s: 612,650 | remaining steps: 34001s
Step 16249 (32.5%) | train: 3.0721 | val: 3.2442 | ppl: 25.6 | tok/s: 613,059 | remaining steps: 33751s
Step 16499 (33.0%) | train: 3.0743 | val: 3.2273 | ppl: 25.2 | tok/s: 607,968 | remaining steps: 33501s
Step 16749 (33.5%) | train: 3.0494 | val: 3.2236 | ppl: 25.1 | tok/s: 610,064 | remaining steps: 33251s
Step 16999 (34.0%) | train: 3.0482 | val: 3.2003 | ppl: 24.5 | tok/s: 610,386 | remaining steps: 33001s
Step 17249 (34.5%) | train: 3.0446 | val: 3.2288 | ppl: 25.2 | tok/s: 611,213 | remaining steps: 32751s
Step 17499 (35.0%) | train: 3.0452 | val: 3.2328 | ppl: 25.4 | tok/s: 612,842 | remaining steps: 32501s
Step 17749 (35.5%) | train: 3.0425 | val: 3.2073 | ppl: 24.7 | tok/s: 611,514 | remaining steps: 32251s
Step 17999 (36.0%) | train: 3.0417 | val: 3.2350 | ppl: 25.4 | tok/s: 612,262 | remaining steps: 32001s
Step 18249 (36.5%) | train: 3.0410 | val: 3.2069 | ppl: 24.7 | tok/s: 610,199 | remaining steps: 31751s
Step 18499 (37.0%) | train: 3.0432 | val: 3.2250 | ppl: 25.2 | tok/s: 610,577 | remaining steps: 31501s
Step 18749 (37.5%) | train: 3.0363 | val: 3.2117 | ppl: 24.8 | tok/s: 612,337 | remaining steps: 31251s
Step 18999 (38.0%) | train: 3.0307 | val: 3.2038 | ppl: 24.6 | tok/s: 611,842 | remaining steps: 31001s
Step 19249 (38.5%) | train: 3.0371 | val: 3.2025 | ppl: 24.6 | tok/s: 610,801 | remaining steps: 30751s
Step 19499 (39.0%) | train: 3.0191 | val: 3.1973 | ppl: 24.5 | tok/s: 614,119 | remaining steps: 30501s
Step 19749 (39.5%) | train: 3.0259 | val: 3.2193 | ppl: 25.0 | tok/s: 610,891 | remaining steps: 30251s
Step 19999 (40.0%) | train: 3.0208 | val: 3.1988 | ppl: 24.5 | tok/s: 611,431 | remaining steps: 30001s
Step 20249 (40.5%) | train: 3.0169 | val: 3.2019 | ppl: 24.6 | tok/s: 611,681 | remaining steps: 29751s
Step 20499 (41.0%) | train: 3.0165 | val: 3.2145 | ppl: 24.9 | tok/s: 612,657 | remaining steps: 29501s
Step 20749 (41.5%) | train: 3.0179 | val: 3.1934 | ppl: 24.4 | tok/s: 611,982 | remaining steps: 29251s
Step 20999 (42.0%) | train: 3.0050 | val: 3.2278 | ppl: 25.2 | tok/s: 612,673 | remaining steps: 29001s
Step 21249 (42.5%) | train: 3.0036 | val: 3.1904 | ppl: 24.3 | tok/s: 611,690 | remaining steps: 28751s
Step 21499 (43.0%) | train: 2.9924 | val: 3.1986 | ppl: 24.5 | tok/s: 613,068 | remaining steps: 28501s
